"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",1,2011-01-01,1.5,4,0.124578239597723,0.164931031276372,0.231845072866292,0.128723997391095,0.171325475605364,0.240395604755783,0.141858254923502,0.216250399768425,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0512211883737538,0.0410179119594599,0.0943328540496224,TRUE,0.397914836486402,0.239415135516342,0.392406733664931
"EZ",1,2011-01-01,1.5,5,0.0459596736927939,0.0712369244626671,0.13097655107414,0.0477034387325423,0.0742077181773352,0.136405340868706,0.0548351069325378,0.101428721150901,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.00541383523215597,0.00461513134174122,0.01260938403482,TRUE,0.113489412419712,0.0621920664736299,0.0924405448827469
"EZ",2,2011-02-01,1.5,4,0.131749640154427,0.186134123091658,0.257401792609453,0.135964740116053,0.193030210540207,0.266316356782792,0.149059828197397,0.239974546484421,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0532555660208797,0.0482935518410444,0.100997737913247,TRUE,0.391686594446645,0.250186495191048,0.379239709995059
"EZ",2,2011-02-01,1.5,5,0.042835118688895,0.0718255500293564,0.145230118731278,0.0444778908019882,0.0748962960362774,0.151184601418554,0.050947505319315,0.101263829337959,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.00575373821075469,0.00543229159347332,0.0174654137450756,TRUE,0.129361759449652,0.0725308443937213,0.115523760893628
"EZ",3,2011-03-01,1.5,4,0.144385527362857,0.185451363453073,0.258059236427227,0.1491479821114,0.19250070823625,0.267363673912884,0.163822841221625,0.239566389115146,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.0614921361689849,0.0503742348144798,0.111618421981068,TRUE,0.412289427577074,0.261683373926381,0.41747788825432
"EZ",3,2011-03-01,1.5,5,0.0576687775399744,0.0808131299622655,0.143526220364905,0.0598291122209124,0.08415752780261,0.149341191111487,0.0684005578934614,0.113299113367194,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.00789077570843007,0.0059744075192601,0.0153421255007199,TRUE,0.131888564204233,0.0709907678523182,0.102732041887001
"EZ",4,2011-04-01,1.5,4,0.144720700771965,0.188914421176258,0.26425866594485,0.149425972918332,0.196003654405763,0.273569664110332,0.163712227838204,0.242295706757099,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0626541327121999,0.0528663569511215,0.116019916910075,TRUE,0.419298810565169,0.269721282041398,0.42409642636138
"EZ",4,2011-04-01,1.5,5,0.0552380226896772,0.0790685650839063,0.144538085270294,0.0573087383715217,0.0823601079594981,0.15037359827716,0.0654091361679748,0.110348239678411,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.00782626477252314,0.00608861604675172,0.0164630643537604,TRUE,0.136563201265869,0.0739267613605594,0.109481082732466
"EZ",5,2011-05-01,1.5,4,0.128954295769711,0.167023558928734,0.245091979821814,0.133111638839268,0.173302319309144,0.253652088480495,0.145647068177301,0.214246498588581,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0590891702892439,0.048202316465933,0.115656617889023,TRUE,0.443906864978157,0.278140054086338,0.455965565203367
"EZ",5,2011-05-01,1.5,5,0.0461959239503098,0.0687246702206292,0.126946735162186,0.0479159965534063,0.0715402304669259,0.132021334976585,0.0547129920097298,0.0960274856594215,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.0059941920002516,0.00485252963852917,0.0132294801970771,TRUE,0.125097930365918,0.0678293822490908,0.100207138485787
