"threshold","horizon","n_na","min","p05","median","max"
4,"5y",0,5.1247117433449e-05,0.226658713721995,0.427706675023546,0.932340793410764
4,"10y",0,4.24049533912187e-05,0.194743454995094,0.293659524427501,0.825769302470951
4,"5y5y",0,0.290435481221581,0.368172130480284,0.610117758518632,0.999961124451316
5,"5y",14,4.31355248323961e-05,0.079437949267378,0.215206312596062,0.474838004268576
5,"10y",0,2.56031539025656e-05,0.0453400695720004,0.091523299974743,0.219621801442532
5,"5y5y",0,4.09414083665875e-05,0.0635627914764272,0.245957031085535,0.448979182080551
