"area","month","date","threshold","lower","upper","gaussian_rho_min","gaussian_rho_max","hrr_proxy","ngmmr_5y5y","ngmmr_spot_only_5y5y"
"US",1,2011-01-01,4,0.179160506498296,0.723703458208794,0.421099265011843,0.348951246136365,0.11472504672076,0.416052015854462,0.458691066084349
"US",2,2011-02-01,4,0.168039565954196,0.741921158262382,0.425748262800853,0.353991438239109,0.10608057682677,0.41993298909259,0.430023266803704
"US",3,2011-03-01,4,0.151095329081881,0.711648199444575,0.416268925180079,0.337551720361672,0.100573089882865,0.397761454381849,0.397651302969708
"US",4,2011-04-01,4,0.15881683004816,0.684020735718086,0.411976716177053,0.334823849158498,0.0817118294596024,0.390386524671617,0.432206067688636
"US",5,2011-05-01,4,0.142604918481713,0.62693124356809,0.382860957174784,0.293734290132996,0.0991326651592308,0.339642486561325,0.309914290032598
"US",6,2011-06-01,4,0.161123570336088,0.663731615737202,0.406120977515354,0.330272360402609,0.0844974120902253,0.365699506275072,0.348250122790838
"US",7,2011-07-01,4,0.174759020657319,0.697366736075452,0.424358135185955,0.357696558852079,0.0848180128661661,0.397644633572545,0.385064787161975
"US",8,2011-08-01,4,0.165760100819591,0.679433692803141,0.417672378132659,0.344404562191419,0.0881344125088851,0.385787144583925,0.375466053169568
"US",9,2011-09-01,4,0.157508372072983,0.667876405104666,0.400293805194553,0.31539455604588,0.0732070268445011,0.349418123434016,0.341151082810799
"US",10,2011-10-01,4,0.104736043419485,0.599214104161329,0.367755403973746,0.25180565933008,0.0587565406974161,0.289132977297876,0.282345371957235
"US",11,2011-11-01,4,0.110397573995445,0.638404580331514,0.381107420259427,0.271121483868454,0.069478288564373,0.30998689521745,0.349115664376234
"US",12,2011-12-01,4,0.097868520399878,0.65219299796926,0.381029419292003,0.262243862886552,0.0779489395892731,0.322444935215003,0.314767439068413
"US",13,2012-01-01,4,0.0830065376949474,0.659834031314749,0.379878593755772,0.241329989730734,0.074317637082323,0.30465979113828,0.301367528672239
"US",14,2012-02-01,4,0.1295361276666,0.628283734969173,0.394455439092971,0.29733308793461,0.0855764287383134,0.349838889690357,0.336388058455898
"US",15,2012-03-01,4,0.119125412946308,0.651078696630177,0.398492623659392,0.298100727616946,0.0910944457648102,0.355965496790841,0.34607947698374
