"area","month","date","q5_target","q5_model","q10_target","q10_model","q5y5y_ngmmr","q5y5y_gaussian_proxy","q5y5y_hrr_proxy"
"US",1,2011-01-01,0.162867622841218,0.161227274552575,0.27159861445829,0.273528288991264,0.472874780776524,0.42107763017297,0.11472504672076
"US",2,2011-02-01,0.216849021066603,0.217076479985514,0.30924893162019,0.310346343362237,0.438976562220129,0.42682983751584,0.10608057682677
"US",3,2011-03-01,0.240742370469539,0.24251351062764,0.303170236374048,0.303644888894783,0.417237797131725,0.412150025216689,0.100573089882865
"US",4,2011-04-01,0.247097894311529,0.253243665048657,0.305496127007492,0.308301492187986,0.43793093072107,0.405014332578516,0.0817118294596024
"US",5,2011-05-01,0.335803526081697,0.338229615093173,0.308018290752856,0.307521275406845,0.307560848127254,0.370303799891006,0.0991326651592308
"US",6,2011-06-01,0.175915624620748,0.176692458172497,0.264426969089354,0.264645347602508,0.377549710689456,0.402990075691192,0.0844974120902253
"US",7,2011-07-01,0.164633167005319,0.16642488239988,0.275668722700238,0.275361890010141,0.413729737454128,0.42875952658027,0.0848180128661661
"US",8,2011-08-01,0.191675529422331,0.192421479357758,0.284608620882727,0.28486197205575,0.4034654046353,0.419678708206119,0.0881344125088851
"US",9,2011-09-01,0.130757341098488,0.133117096442318,0.232954799467836,0.232380491412111,0.373430615750313,0.398365980067711,0.0732070268445011
"US",10,2011-10-01,0.104310869401068,0.106188687450652,0.169516746801658,0.169042374058212,0.324570366574323,0.353790716125276,0.0587565406974161
"US",11,2011-11-01,0.142172622239514,0.147679003986326,0.198523664076317,0.200819743927689,0.379861992322196,0.369469973610769,0.069478288564373
"US",12,2011-12-01,0.174359791819914,0.174911503793414,0.212486243105569,0.21285090283858,0.346685985416412,0.365622016259334,0.0779489395892731
"US",13,2012-01-01,0.150307215812047,0.150104119060272,0.181966739192206,0.182143061498828,0.341477264915347,0.364293982346515,0.074317637082323
"US",14,2012-02-01,0.154359537428287,0.153555565323464,0.225343693170956,0.226190847430558,0.342613666245886,0.386762562968803,0.0855764287383134
"US",15,2012-03-01,0.193076404206016,0.194062639211948,0.241191593690894,0.241259818102894,0.370247880687947,0.39169890632611,0.0910944457648102
"US",16,2012-04-01,0.183928079317336,0.184232988034642,0.235724458335751,0.235806483136231,0.371294240859247,0.396515327096463,0.0924430381010869
