"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.000322686387501097,0.00460220604293438,6.35597103331574,6.08632858014046,2.54470053469383,1.41252182727214,4.49351804352049,2.03431592289451,9.7225458656841,10.2467813273067,0.066975717855138,0.0417824187941406,0.0983520068695093,0.123179025740542,0.110527686134561,0.124672051714816,0.0775304882125849,0.016020627052459,0.0362998131961285,0.155624089911431,0.100440049248804,0.156256980881094,0.282815808957817,0.130728996436,0.0944175065987938,0.367338084113891,0.192725084161538,0.242537215325409,0.367338084113891,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-01",2011-01-01
2,0.000237986536500505,0.00710914865150191,6.63407220444246,5.40144183363057,2.81350155984581,0.939367772555591,4.62830803764595,1.80259158062572,10.1338894666695,9.1320848346708,0.0459998198980594,0.0315972397278663,0.0456981472814446,0.128901011844846,0.113374238569991,0.130332689908984,0.0711716647058156,0.0120028079167241,0.0675421915093926,0.179027188902014,0.106232163113447,0.178749006343147,0.275372115918388,0.113379890017154,0.136067849209565,0.374794874885846,0.196920961848142,0.23674302179419,0.374794874885846,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-02",2011-02-01
3,0.000211171594930258,0.00527041508576838,6.21053186594582,5.63029318202149,3.47063637960983,0.901206218609996,4.0566919206981,1.57617951675731,9.33863223148106,9.58144505954328,0.0335272367788504,0.0315723795394635,0.0480886732336501,0.149247085176377,0.125601982026781,0.150459252792299,0.0628535802746739,0.0119634054584088,0.0463978183321897,0.17475066117347,0.11816488216701,0.175441045319178,0.27603101818552,0.112467057921072,0.108363766600923,0.364312181103031,0.212635724378159,0.242428523681458,0.364312181103031,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-03",2011-03-01
4,0.000174745391463084,0.00772588146415917,6.91334830110788,5.29817869571055,4.1013968952773,0.960896547297703,4.53660780605399,1.37034217204161,10.2947019052886,9.02280070886856,0.030163851097324,0.0193234240933994,0.0428007134943564,0.148849950702839,0.114883049997261,0.149746298488121,0.057860404915623,0.00726034882342973,0.052511675542632,0.178597667752321,0.110832620777457,0.178387651473407,0.266555778757823,0.0887942023126764,0.115033108104122,0.368404144606299,0.199356735472341,0.247270399596852,0.368404144606299,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-04",2011-04-01
5,0.000124749497063957,0.00926342224930909,7.6257854923966,5.74066283203561,4.38231127456782,0.630840531837465,5.57214003041493,1.27462792914192,11.144703517922,9.84088375701023,0.0269858622648177,0.0154054394311256,0.0337383246454669,0.128351111479299,0.0904100150130469,0.128580237441701,0.0484081090997246,0.00527438760971656,0.0425430977038002,0.158024100058178,0.0858984427464254,0.158461330717761,0.247192208119801,0.0757310608220692,0.0935319789549536,0.36658247465909,0.16566467352136,0.22462865746708,0.36658247465909,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-05",2011-05-01
6,0.000254760533442487,0.0134834785151397,8.78290145037648,5.87178169248315,5.51534757070028,1.19072373440668,5.95513204847605,1.79064450210455,12.866056782117,9.94028319455458,0.0503773263836258,0.0474963806305675,0.0630681972540907,0.129630484419962,0.0864484064335124,0.129940746839493,0.06536498626884,0.0132751434119284,0.0329096511192837,0.161598281409623,0.0712816212556653,0.162472146042681,0.273005533617507,0.13683490125054,0.087137773432382,0.369424574083451,0.151102488957856,0.241634000858048,0.369424574083451,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-06",2011-06-01
7,0.000246768173145407,0.0102621138890344,7.63669848341247,5.88208626629102,3.32620499021982,1.10633819919143,5.78205276394633,1.66560490652535,11.4219839510323,9.98992455510234,0.0398099181041194,0.0255929881830211,0.0343734729543643,0.112078959413286,0.0785524145328387,0.109496515843518,0.0493349123288688,0.00849281607913916,0.0476805421568257,0.153457198937639,0.071077260730604,0.155035863954575,0.247663624633296,0.09771871773856,0.102217606880137,0.372996103050749,0.147021011839113,0.212500344611189,0.372996103050749,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-07",2011-07-01
8,0.000252465545589635,0.00814097257336299,7.39048145210826,5.80394164013896,3.06283987715918,1.41392666833405,5.59225670840723,1.59258205298731,11.0996993236766,9.82454627285623,0.0471731837385971,0.0357196683660506,0.0383748419098482,0.104864324524001,0.0767358900636269,0.106976439981104,0.0568665284719593,0.0119437207282197,0.0553725858696153,0.138609698434634,0.0663664768897881,0.138398203385714,0.261941613490965,0.117851056329012,0.120890683246142,0.361607851911802,0.14248599920538,0.189620141879623,0.361607851911802,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-08",2011-08-01
9,0.000318157828468813,0.00571123458872901,7.19932381858538,5.69548447539854,2.8518287685534,1.81960418272977,5.50016514104357,1.67201028900373,10.8215547141182,9.55034305353349,0.059493421307365,0.0453626413582243,0.037305902691728,0.0920890223638392,0.072489721034596,0.0926126954918625,0.0696125183927301,0.0156727085460939,0.0750476044201875,0.118276483986414,0.0604222025844576,0.118217784533146,0.278875199407572,0.13643337876648,0.15264056164711,0.345666260095333,0.135180353353011,0.160908074802648,0.345666260095333,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-09",2011-09-01
10,0.00032563676674502,0.00495316772203461,7.23041720204834,6.0608428347946,3.36750725285071,1.78094699475743,5.72150216388215,1.70801395914071,10.6189032690631,10.203546624654,0.0534025458217502,0.0517317521761599,0.0365427838354353,0.074200188033755,0.0545590669797952,0.0751004428895384,0.0661633498502533,0.0188700979163178,0.0769641934407949,0.0926968456740339,0.0445370440776926,0.0917745251992343,0.281824584162114,0.150786631089104,0.153321545603253,0.322063853625417,0.108571920904458,0.127070189092811,0.322063853625417,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-10",2011-10-01
11,0.0003185648897577,0.00577179124863923,7.1219671979738,6.20109847828385,3.04557795813156,1.64634938802222,5.57872604557234,1.73450285151882,10.5721105232797,10.4710028441766,0.0534372837029057,0.04206562579467,0.0407339322290271,0.0968026891287207,0.0697622142294763,0.0989049348831576,0.0567413064038418,0.0148387219691888,0.0509829047178235,0.113912984319272,0.059528841202626,0.113671684536885,0.266174839488986,0.131732622127396,0.118840723341275,0.345635033252189,0.132873407350026,0.160246344963468,0.345635033252189,NA,NA,NA,NA,0,0,1.5,2,"high",TRUE,"2011-11",2011-11-01
