"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00290554246154177,0.00773470247561108,6.35597103331574,4.53644833390494,2.54470053469383,1.69644395587607,4.49351804352049,3.04184071674263,9.7225458656841,7.04325020264828,0.066975717855138,0.0417824187941406,0.0987436629418824,0.123179025740542,0.110527686134561,0.119591869479237,0.0775304882125849,0.016020627052459,0.136211364040398,0.155624089911431,0.100440049248804,0.164072024321667,0.282815808957817,0.130728996436,0.220782658431394,0.367338084113891,0.192725084161538,0.242912923418695,0.367338084113891,NA,NA,NA,NA,2.5,0,2.23559631473613,2.2517413901731,0,0.200955028895683,0.202180580733174,0.2,5,1.41675313136982e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.0028186600858585,0.0104876932740913,6.63407220444246,4.5188444145317,2.81350155984581,1.86796875300268,4.62830803764595,2.92436021976579,10.1338894666695,7.01560222440597,0.0459998198980594,0.0315972397278663,0.0777156156949195,0.128901011844846,0.113374238569991,0.129225203147913,0.0711716647058156,0.0120028079167241,0.129178688184728,0.179027188902014,0.106232163113447,0.183782194751331,0.275372115918388,0.113379890017154,0.210116949232334,0.374794874885846,0.196920961848142,0.25837117730704,0.374794874885846,NA,NA,NA,NA,2.5,0,2.31069448976154,2.29203551369613,0,0.201043681720103,0.202583038399167,0.2,5,1.94033972611186e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00289085890824038,0.0078844473339899,6.21053186594582,4.71892029061685,3.47063637960983,2.95276183814288,4.0566919206981,2.83053588355967,9.33863223148106,7.07629071383267,0.0335272367788504,0.0315723795394635,0.077385993745127,0.149247085176377,0.125601982026781,0.146830939916546,0.0628535802746739,0.0119634054584088,0.113024408863617,0.17475066117347,0.11816488216701,0.184163800418594,0.27603101818552,0.112467057921072,0.189413596163557,0.364312181103031,0.212635724378159,0.25904320602776,0.364312181103031,NA,NA,NA,NA,2.5,0,2.37922278578408,2.10487071545685,0,0.20095671164552,0.20158247855391,0.2,5,8.54883886564837e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.0031734784026525,0.0108832598592835,6.91334830110788,4.91982439793751,4.1013968952773,3.4339270974355,4.53660780605399,2.92355787490343,10.2947019052886,7.23014317708936,0.030163851097324,0.0193234240933994,0.0715790072363504,0.148849950702839,0.114883049997261,0.144188211408262,0.057860404915623,0.00726034882342973,0.108809376758251,0.178597667752321,0.110832620777457,0.188114741346477,0.266555778757823,0.0887942023126764,0.17813565080873,0.368404144606299,0.199356735472341,0.270581856216438,0.368404144606299,NA,NA,NA,NA,2.5,0,2.40715047938816,2.22593702014421,0,0.20097026092093,0.201985690159078,0.2,5,1.22109291563586e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00312308970235643,0.0129917815317718,7.6257854923966,4.80657023706974,4.38231127456782,2.9452581706935,5.57214003041493,3.10980239776073,11.144703517922,7.13890297500244,0.0269858622648177,0.0154054394311256,0.0775491275745072,0.128351111479299,0.0904100150130469,0.120605851541015,0.0484081090997246,0.00527438760971656,0.111118627321654,0.158024100058178,0.0858984427464254,0.169825648815365,0.247192208119801,0.0757310608220692,0.175922804499583,0.36658247465909,0.16566467352136,0.26413860160971,0.36658247465909,NA,NA,NA,NA,2.5,0,2.32364256962011,2.3443973201095,0,0.200590992116606,0.201341493556987,0.2,5,5.37219161332418e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00295405189913632,0.0179872964686475,8.78290145037648,4.60962399968552,5.51534757070028,1.8298337726612,5.95513204847605,3.14415001961391,12.866056782117,7.10717449300497,0.0503773263836258,0.0474963806305675,0.0842889769495156,0.129630484419962,0.0864484064335124,0.125059165905984,0.06536498626884,0.0132751434119284,0.124737202671596,0.161598281409623,0.0712816212556653,0.171141229440328,0.273005533617507,0.13683490125054,0.20329545433604,0.369424574083451,0.151102488957856,0.24958559697252,0.369424574083451,NA,NA,NA,NA,2.5,0,2.08137219563916,2.23427504724864,0,0.200873913516836,0.201977364516522,0.2,5,1.16842381652689e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.0028632680905912,0.014615331478386,7.63669848341247,4.57745699817676,3.32620499021982,1.65200784198041,5.78205276394633,3.2559238123723,11.4219839510323,7.0376962088836,0.0398099181041194,0.0255929881830211,0.0807302816791246,0.112078959413286,0.0785524145328387,0.108264637742992,0.0493349123288688,0.00849281607913916,0.120914191459748,0.153457198937639,0.071077260730604,0.161252777169434,0.247663624633296,0.09771871773856,0.192574759616377,0.372996103050749,0.147021011839113,0.248049873406443,0.372996103050749,NA,NA,NA,NA,2.5,0,2.17416930597087,2.33324113267803,0,0.200544202468486,0.202038377266918,0.2,5,1.11278455224828e-05,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00282764555393474,0.0122016596488207,7.39048145210826,4.55093341926059,3.06283987715918,1.59227451425448,5.59225670840723,3.28362147333475,11.0996993236766,6.98680734318181,0.0471731837385971,0.0357196683660506,0.0903399073338961,0.104864324524001,0.0767358900636269,0.100454580438953,0.0568665284719593,0.0119437207282197,0.125380564028515,0.138609698434634,0.0663664768897881,0.147954269924357,0.261941613490965,0.117851056329012,0.203055691045648,0.361607851911802,0.14248599920538,0.231546570145651,0.361607851911802,NA,NA,NA,NA,2.5,0,2.08985498612533,2.2760685082872,0,0.200564797428513,0.201583477795365,0.2,5,7.06599515917345e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00278350565460884,0.00947868149557251,7.19932381858538,4.52946844263718,2.8518287685534,1.61017270003875,5.50016514104357,3.06155483462836,10.8215547141182,7.04148272661035,0.059493421307365,0.0453626413582243,0.10410865673108,0.0920890223638392,0.072489721034596,0.0863329578953698,0.0696125183927301,0.0156727085460939,0.128477043635961,0.118276483986414,0.0604222025844576,0.130656754000729,0.278875199407572,0.13643337876648,0.2109717652315,0.345666260095333,0.135180353353011,0.214784063143288,0.345666260095333,NA,NA,NA,NA,2.5,0,1.99576601823441,2.24961132889456,0,0.200502576937452,0.200872596944221,0.2,5,2.53502251280679e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00284308609607907,0.0085292895557114,7.23041720204834,4.67937612384496,3.36750725285071,1.56925257473438,5.72150216388215,2.98435390599023,10.6189032690631,7.3702619251775,0.0534025458217502,0.0517317521761599,0.0990835510535236,0.074200188033755,0.0545590669797952,0.0677161969913174,0.0661633498502533,0.0188700979163178,0.119458109382837,0.0926968456740339,0.0445370440776926,0.108157362450714,0.281824584162114,0.150786631089104,0.201870001767853,0.322063853625417,0.108571920904458,0.18838658874994,0.322063853625417,NA,NA,NA,NA,2.5,0,1.82806792579184,2.15485807016247,0,0.20050721470251,0.190662694517551,0.2,5,6.43166886106404e-07,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
