"model","rmse24","rmse5","rmse10","rmse5y5y","mean_lr","sd_lr","min_lr","max_lr","tail4_5y","tail4_10y","tail4_5y5y"
"lr_mean_2p5_w10",5.07719740952313,2.81719134513351,3.34191523400398,7.51328680589665,2.43746291339119,0.178292538697625,1.70706315308827,2.90574075187797,0.689353645415162,1.05459692876492,10.2754792381205
"no_lr_penalty",4.97301291011889,2.83639763439386,3.36518983602572,7.28165330983675,NA,NA,Inf,-Inf,0.786751700750532,1.10731458931023,10.0713109482144
