"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","model"
"EZ",1,2011-01-01,1.5,4,0.117267900316836,0.170153317305124,0.256630857893838,0.123011962468461,0.180709173749164,0.270564847721333,0.135702986539172,0.222896935212894,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0447579521747392,0.0434549468264533,0.0856773496799378,TRUE,"no_lr_penalty"
"EZ",1,2011-01-01,1.5,5,0.0467811808922199,0.0519848041470583,0.165652698513975,0.0494228117139646,0.0560134419805314,0.175998001514022,0.056593346593843,0.0753920114896211,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.0109298145797192,0.0067302328099426,0.0361551812075887,TRUE,"no_lr_penalty"
"EZ",2,2011-02-01,1.5,4,0.123683018186179,0.191866940171194,0.283713656523174,0.129333230608288,0.202504644489064,0.297531680116698,0.142490892157755,0.248143733531706,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0460223565553385,0.0486288290306363,0.0932330655002111,TRUE,"no_lr_penalty"
"EZ",2,2011-02-01,1.5,5,0.0497789880205435,0.0601419579686391,0.18870229434032,0.0523947775953856,0.0643232644866233,0.199249930283003,0.0599364066711223,0.0860071561139165,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.0112330702080912,0.00769013904125245,0.0402231235470964,TRUE,"no_lr_penalty"
"EZ",3,2011-03-01,1.5,4,0.144574830779743,0.187902184570054,0.266781614668924,0.151428474082336,0.199755975969504,0.281608851876297,0.165302133958287,0.242447933630457,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.056705503540221,0.0505665383279758,0.0916907221437602,TRUE,"no_lr_penalty"
"EZ",3,2011-03-01,1.5,5,0.0552907859108498,0.0586768752887598,0.165737002051891,0.0584882690564143,0.0634846430719974,0.176706927056636,0.0661703940540907,0.0837310702764992,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.0134042913675655,0.00778706410591413,0.0371751824489385,TRUE,"no_lr_penalty"
"EZ",4,2011-04-01,1.5,4,0.143721210158831,0.192086500409008,0.275249970774384,0.150346268340958,0.203759463506926,0.289770979177115,0.163604984517805,0.245228366627273,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0579423732049998,0.0536074165825605,0.09845257331533,TRUE,"no_lr_penalty"
"EZ",4,2011-04-01,1.5,5,0.0530215052522782,0.0562407835103374,0.16646672781535,0.0560489459582911,0.0607857129958699,0.177096357056899,0.0632407705290547,0.0796459629426286,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.0130299734400254,0.00757247095112911,0.0382916918095601,TRUE,"no_lr_penalty"
"EZ",5,2011-05-01,1.5,4,0.121111754744987,0.172650881849643,0.266873661882666,0.12673078971064,0.182906477974615,0.280047368510629,0.137981417230074,0.218857739454664,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0528770941943907,0.051955839394633,0.105694763304057,TRUE,"no_lr_penalty"
"EZ",5,2011-05-01,1.5,5,0.0420026857313597,0.0422022251718337,0.15234825968241,0.0444044955834629,0.0456128917056958,0.161557300987,0.0502236622688147,0.0597893463308055,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.0108617038139615,0.00597087712603571,0.037877429853145,TRUE,"no_lr_penalty"
"EZ",6,2011-06-01,1.5,4,0.123477193009116,0.176099903668725,0.261338468748264,0.129376645665403,0.186853517987256,0.275275354234831,0.142078046976959,0.228595329733422,0.129630484419962,0.161598281409623,0.147287828467813,0.210275627630863,0.0473400552991532,0.0455896278614298,0.087783102183936,TRUE,"no_lr_penalty"
"EZ",6,2011-06-01,1.5,5,0.0482541171672229,0.0537617531531363,0.166492887319549,0.0509651252042598,0.0579328765399443,0.176850823068958,0.0580798382131758,0.077264864976101,0.0318409461977015,0.0479539836129765,0.0392192116486301,0.0733765211601261,0.0113056969628879,0.00696062061997278,0.036394156306028,TRUE,"no_lr_penalty"
"EZ",7,2011-07-01,1.5,4,0.105830961552681,0.167757481896332,0.262171491344996,0.110744991709046,0.177251636794423,0.274733833212753,0.12162001395999,0.215292520249244,0.112078959413286,0.153457198937639,0.127044979496554,0.196614731243136,0.0423729517484091,0.0448478345006151,0.0931500887992216,TRUE,"no_lr_penalty"
"EZ",7,2011-07-01,1.5,5,0.0399792284357681,0.0452455854231859,0.164349781484016,0.0421488664770071,0.0485747888449454,0.173590624892598,0.0481066812359148,0.0646417888044341,0.0257448493297977,0.0417861178823198,0.0317006237602434,0.0627548263474557,0.00951662004125618,0.00596874211855813,0.0372028097494812,TRUE,"no_lr_penalty"
"EZ",8,2011-08-01,1.5,4,0.0988097754658481,0.153123145192697,0.241582824645499,0.103578535969222,0.162320413491876,0.253998983908758,0.114106536239636,0.199123976604588,0.104864324524001,0.138609698434634,0.119807853209652,0.18076589901031,0.038689186478524,0.0393322213970183,0.0826971600607829,TRUE,"no_lr_penalty"
"EZ",8,2011-08-01,1.5,5,0.0378540578480524,0.042158427111092,0.152257024058082,0.0399686209964564,0.0453845562654244,0.161340249223078,0.0457537251687731,0.0609788496679773,0.0254521297283893,0.039542784079821,0.0315649692370266,0.060483923688847,0.00886322799560204,0.00541125670972785,0.0334577400454882,TRUE,"no_lr_penalty"
"EZ",9,2011-09-01,1.5,4,0.08626476220263,0.132962314892445,0.216348034175371,0.0906202671912134,0.141439630590655,0.2281649078469,0.100209987690146,0.175377369191994,0.0920890223638392,0.118276483986414,0.106258860792273,0.156836345444111,0.0340113964716658,0.03351063974129,0.0736375416809298,TRUE,"no_lr_penalty"
"EZ",9,2011-09-01,1.5,5,0.0329502185269978,0.0351576261293108,0.134928141025774,0.034858079766429,0.037983156325279,0.143415173947848,0.0400660510365731,0.0516667396840935,0.023419459178196,0.0328346394346428,0.0293571321621681,0.0514027043096606,0.00775318247186669,0.00446201898549254,0.0295284435859807,TRUE,"no_lr_penalty"
"EZ",10,2011-10-01,1.5,4,0.0683462687971842,0.107020588790641,0.183432369301442,0.0719127724950897,0.114166239853042,0.193792307336267,0.0795895565957987,0.142219273963651,0.074200188033755,0.0926968456740339,0.0867009934662372,0.125291652357454,0.0273084394499285,0.0262668837823532,0.0620561074671045,TRUE,"no_lr_penalty"
"EZ",10,2011-10-01,1.5,5,0.0253866197396957,0.0258452527774422,0.111364910887151,0.0269077428345476,0.0280336617223685,0.11863047733631,0.0309693913293939,0.0384030740242012,0.0215935151796051,0.0265810876311107,0.0275672612354019,0.0426773114931421,0.00597711014322812,0.00320000079169744,0.0241057358167538,TRUE,"no_lr_penalty"
"EZ",11,2011-11-01,1.5,4,0.0900070356797387,0.129296458358022,0.21069400227588,0.0946078087698203,0.137935653021961,0.222611416349276,0.104077687385257,0.169465207978708,0.0968026891287207,0.113912984319272,0.111965892331106,0.151916920997826,0.036549097494734,0.0338756468727403,0.0742696873507,TRUE,"no_lr_penalty"
"EZ",11,2011-11-01,1.5,5,0.0330267396669765,0.033159134852215,0.125624248454539,0.0350142701199029,0.0360052479449653,0.133975898750616,0.0400204117364312,0.0484819924265831,0.0272446206961934,0.033995701405155,0.0343395150791243,0.0539579278853158,0.00800985371377726,0.00428853143457342,0.0283579498385906,TRUE,"no_lr_penalty"
"EZ",12,2011-12-01,1.5,4,0.135752697415003,0.176837138780366,0.251459874558076,0.142614576424953,0.188599218144695,0.266457307710865,0.156978810723205,0.233170681175804,0.141988215703617,0.161584700834917,0.165363530528987,0.216225276541019,0.048103672423053,0.0414177253439877,0.0753499335773123,TRUE,"no_lr_penalty"
"EZ",12,2011-12-01,1.5,5,0.0572970708769349,0.0629479841017708,0.167838309560834,0.0606495756740438,0.0681117152642357,0.179328183342705,0.0691433391458757,0.0911804965748323,0.0488418642508072,0.0565755547196446,0.0618525887092179,0.0892245719579024,0.0129391834950718,0.00774164524586353,0.0340375286980202,TRUE,"no_lr_penalty"
"EZ",13,2012-01-01,1.5,4,0.13299301407006,0.170146510498995,0.245240684827607,0.139913428796744,0.181890867141045,0.260324987762217,0.154094103140578,0.224930020330458,0.13962704123588,0.154789188013373,0.162918424243563,0.205300456855426,0.0477810268095425,0.0401646227698787,0.074555371768518,TRUE,"no_lr_penalty"
"EZ",13,2012-01-01,1.5,5,0.0562115675167873,0.059737623959923,0.161986642099919,0.0595886612960988,0.0648204065184771,0.173429804290022,0.0679655332373444,0.0868192014799195,0.0495066490305179,0.0503096282307067,0.0625294305057624,0.0782830132183948,0.012914513882946,0.00744270880212071,0.0334604483885898,TRUE,"no_lr_penalty"
"EZ",14,2012-02-01,1.5,4,0.15690681505998,0.207482225149456,0.291810290032703,0.164696896935448,0.220678612874504,0.308387884227855,0.181270791630354,0.270435295054013,0.162688636434131,0.193429814843441,0.18626675171128,0.251359410691988,0.0543857997001705,0.0485947544338094,0.0868840395128876,TRUE,"no_lr_penalty"
"EZ",14,2012-02-01,1.5,5,0.0698691038622579,0.0794284052551514,0.201794612213893,0.0738213213979766,0.0855897735279019,0.214859684838556,0.0840885340028012,0.113265335918632,0.0484776519822775,0.0655604966331567,0.0595069842466236,0.0986465240155904,0.0157101687914446,0.0100429738034205,0.0414431064960782,TRUE,"no_lr_penalty"
"EZ",15,2012-03-01,1.5,4,0.132925498491416,0.171314322974422,0.245274837203594,0.139813308483272,0.183015886723107,0.260287555876358,0.15408947559328,0.226698864590816,0.139603408594105,0.155704525983647,0.163997614055056,0.209896728138622,0.0463136158011905,0.0390239768295199,0.0717192826236759,TRUE,"no_lr_penalty"
"EZ",15,2012-03-01,1.5,5,0.0572162539058499,0.0622762534264474,0.165022586792874,0.0606152152931267,0.0674802188774615,0.17656519564442,0.0691728194287757,0.0904265708211629,0.0527190277061289,0.0562957374474522,0.0672132937641548,0.0894424161751638,0.0128171960417025,0.00755784948530065,0.0329512884045391,TRUE,"no_lr_penalty"
"EZ",16,2012-04-01,1.5,4,0.122185950393399,0.176579386219933,0.257317407064112,0.128189489929513,0.18745310308188,0.271513300356224,0.141692117375949,0.232637111240373,0.128291595487348,0.162377327558104,0.149875598513676,0.216277345779434,0.0404470522504786,0.0385082721311141,0.0722037764810336,TRUE,"no_lr_penalty"
"EZ",16,2012-04-01,1.5,5,0.0529332449782568,0.0638842783837768,0.178589568753263,0.0558535754930531,0.068632179727086,0.189691970376457,0.0640049164118497,0.0923774395120475,0.0461805542785818,0.0563164796033975,0.0585848235572324,0.0880522353622914,0.0110529169738881,0.00740687038522538,0.0338074073975061,TRUE,"no_lr_penalty"
"EZ",17,2012-05-01,1.5,4,0.125794929954144,0.178923947440576,0.263964497617432,0.132124285255858,0.190237626635581,0.278804158822546,0.146211529058101,0.235822433029722,0.131679354555869,0.164614552301414,0.152430328756372,0.218955411292548,0.0428105423989736,0.0403223401446152,0.0769887956003443,TRUE,"no_lr_penalty"
"EZ",17,2012-05-01,1.5,5,0.05505247304952,0.0644223044851779,0.182322917669891,0.0581461568439445,0.0693220302927452,0.193860973956052,0.0666977492787122,0.0932182538232718,0.0414960213877428,0.0567512146393242,0.0517379785243227,0.0884167510558428,0.0118815691924712,0.00776948706960226,0.0360530943671328,TRUE,"no_lr_penalty"
"EZ",18,2012-06-01,1.5,4,0.0762834074772165,0.131146065267221,0.326517019801841,0.0775891110715136,0.133433362511377,0.333111849415082,0.0912204025966957,0.182636008927583,0.0867524143124605,0.124292646307582,0.10338491898584,0.172140096505637,0.0076309294301277,0.016526416953132,0.05960854235516,TRUE,"no_lr_penalty"
"EZ",18,2012-06-01,1.5,5,0.0347110099472348,0.076283407477054,0.278068232850513,0.0353376169033931,0.0775891110713523,0.283933796171653,0.0432092326486363,0.112806726099171,0.0285926044464234,0.042963336718153,0.0367222971885102,0.0693945724008148,0.00301589336359374,0.00763092943009155,0.0450905726493023,TRUE,"no_lr_penalty"
"EZ",19,2012-07-01,1.5,4,0.0868967201280824,0.157106475732409,0.323074631980766,0.0888714951739266,0.160998462671666,0.331060759209691,0.103599646573421,0.215953562786225,0.0947845521888745,0.14734040371092,0.111194246801447,0.195272727857797,6.19739946177241e-05,0.000136565672034783,0.000311052515921876,TRUE,"no_lr_penalty"
"EZ",19,2012-07-01,1.5,5,0.0380329679953477,0.0868963191809672,0.270404840664536,0.0389103564783381,0.0888710997921502,0.277222334130347,0.0472638994690365,0.127373802281582,0.0266501242573449,0.0420457364889006,0.0335618676416402,0.0636762532615773,2.28683432296488e-05,6.19469045406366e-05,0.000232838112152868,TRUE,"no_lr_penalty"
"EZ",20,2012-08-01,1.5,4,0.11137248615006,0.155405982033836,0.240690494870766,0.117375917486615,0.166059121013693,0.255199685692654,0.130588329545926,0.207795004012941,0.117188894265503,0.140480112345504,0.137498532887915,0.19266070861706,0.0388284821873511,0.0351022143505125,0.0718715199768973,TRUE,"no_lr_penalty"
"EZ",20,2012-08-01,1.5,5,0.0492270031201802,0.0542748209887885,0.164369398374275,0.0521392600678638,0.0586761542003489,0.175434787455971,0.0601454677443365,0.0798053994887602,0.0392775399291752,0.0515378566500838,0.0495600387628067,0.0831459214884101,0.0108976033651466,0.00663152573659067,0.0333300315506844,TRUE,"no_lr_penalty"
"EZ",21,2012-09-01,1.5,4,0.121214011336075,0.180964506143571,0.268475582043148,0.127247313231447,0.191988185156022,0.283086245946731,0.141298950931921,0.239177707580317,0.12651765285758,0.167538037713377,0.147012855553111,0.221853495104799,0.0394730220208489,0.0389682077917644,0.0749505380660458,TRUE,"no_lr_penalty"
"EZ",21,2012-09-01,1.5,5,0.0543038609393845,0.0665882219253021,0.190595809693822,0.0572662135545828,0.0713869768420748,0.202112279817344,0.0659316343393884,0.0965045619572684,0.0410862869300457,0.0562287470919521,0.0514484866702198,0.0866199943486045,0.0111851728951834,0.00776119240494491,0.0361216013256563,TRUE,"no_lr_penalty"
"EZ",22,2012-10-01,1.5,4,0.126364138021223,0.195002962886507,0.285718291944755,0.132433459089649,0.206215538755306,0.300506300241759,0.147213734988511,0.256904228117907,0.13089721649505,0.183012029872382,0.150692935215,0.237665816785607,0.0404412135067575,0.0419407051960046,0.0791965392070206,TRUE,"no_lr_penalty"
"EZ",22,2012-10-01,1.5,5,0.0569787793184074,0.072900042326098,0.206469855935365,0.059964698834856,0.077822484383717,0.218252226959726,0.0691225205321733,0.10521828761392,0.0373841972263794,0.0556288555592341,0.046222379308681,0.0827669924259303,0.0114595651217504,0.00846349117554777,0.038675434383915,TRUE,"no_lr_penalty"
"EZ",23,2012-11-01,1.5,4,0.114587657496274,0.169992433466321,0.255026735127718,0.120308754278134,0.180493062578719,0.26912708794812,0.133732275098026,0.225747156503618,0.119609809639254,0.156985165515091,0.137757823866454,0.209244291042297,0.0386036520682261,0.0377567523185632,0.0736625481466537,TRUE,"no_lr_penalty"
"EZ",23,2012-11-01,1.5,5,0.050087737186401,0.0603801925502192,0.178054956385587,0.0528419801493917,0.064787513140384,0.188995711793852,0.0609344369510268,0.0880964062178032,0.0324240312348515,0.0523166220313624,0.0401113474601161,0.0809465176324966,0.0105433378664939,0.00714094925940624,0.0344675332213613,TRUE,"no_lr_penalty"
