"month","date","lr_mean_target_pct","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr"
1,2011-01-01,2.5,2.23559631473613,2.37731019103133,1.50527892247676e-05
2,2011-02-01,2.5,2.31069448976154,2.46024868592995,1.5801669702961e-06
3,2011-03-01,2.5,2.37922278578408,2.35822649322205,2.00997272241182e-05
4,2011-04-01,2.5,2.40715047938816,2.37423663849087,1.58164230980753e-05
5,2011-05-01,2.5,2.32364256962011,2.4119766814775,7.74810460371265e-06
6,2011-06-01,2.5,2.08137219563916,2.38702370445808,1.27636433543745e-05
7,2011-07-01,2.5,2.17416930597087,2.46293329723805,1.3739404536426e-06
8,2011-08-01,2.5,2.08985498612533,2.40716137493988,8.6190103030538e-06
9,2011-09-01,2.5,1.99576601823441,2.31498255094489,3.42314564548585e-05
10,2011-10-01,2.5,1.82806792579184,2.23094404664851,7.23911060338789e-05
11,2011-11-01,2.5,1.99658097271842,2.3064557997264,3.74593574595464e-05
12,2011-12-01,2.5,2.15449233530683,2.35939928670456,1.97685605791874e-05
13,2012-01-01,2.5,2.11436977540612,2.3604887797117,1.94633805863316e-05
14,2012-02-01,2.5,2.18717034809416,2.51074768775179,1.15512792010025e-07
15,2012-03-01,2.5,2.09010485940059,2.37940653320067,1.45427842346821e-05
16,2012-04-01,2.5,2.09027461297579,2.45316870856051,2.19316985789032e-06
17,2012-05-01,2.5,2.11467183499541,2.48669304628381,1.77075017204765e-07
18,2012-06-01,2.5,1.96244450693867,2.526999084685,7.28950573827964e-07
19,2012-07-01,2.5,2.08338607484061,2.59639670077331,9.29232391997829e-06
20,2012-08-01,2.5,2.04922877544573,2.45069368218377,2.43111297659537e-06
21,2012-09-01,2.5,2.18343577438732,2.5323790237587,1.04840117956678e-06
22,2012-10-01,2.5,2.19575885577732,2.5687564958921,4.72745572735967e-06
23,2012-11-01,2.5,2.0605487914709,2.48149122808402,3.4257463783763e-07
24,2012-12-01,2.5,2.04985452368373,2.49850498765926,2.23506189896957e-09
25,2013-01-01,2.5,2.50069746759582,2.40954728616424,8.1816934402541e-06
26,2013-02-01,2.5,2.50253808654786,2.45001431120258,2.49856908455282e-06
27,2013-03-01,2.5,2.46758922199314,2.45813929676565,1.75231847527444e-06
28,2013-04-01,2.5,2.44472439973555,2.46084058904942,1.53345946599657e-06
29,2013-05-01,2.5,2.37088185352599,2.51108483335851,1.22873530585879e-07
30,2013-06-01,2.5,2.34464536077694,2.40160892882098,9.68080288775558e-06
31,2013-07-01,2.5,2.2544397223461,2.44360279425316,3.18064481605176e-06
32,2013-08-01,2.5,2.27349769511334,2.39401027056153,1.12338227464395e-05
33,2013-09-01,2.5,2.29773705238044,2.44088839234444,3.49418215962478e-06
34,2013-10-01,2.5,2.5952839698745,2.35993136090979,1.96192236565824e-05
35,2013-11-01,2.5,2.50689524913562,2.30123241264948,3.95085537811485e-05
36,2013-12-01,2.5,2.43408230433271,2.32063845466516,3.21705639449004e-05
37,2014-01-01,2.5,2.47131012990489,2.45309487219792,2.20009101412927e-06
38,2014-02-01,2.5,2.36490564017973,2.29999447425035,4.00022103303948e-05
39,2014-03-01,2.5,2.38535297974284,2.30742714409707,3.70843048306112e-05
40,2014-04-01,2.5,2.41870039937813,2.31253736109906,3.5142240983705e-05
41,2014-05-01,2.5,2.44635905528208,2.2574443270003,5.88332545043365e-05
42,2014-06-01,2.5,2.44407447040664,2.29087993240749,4.3731202669897e-05
43,2014-07-01,2.5,2.42740191489214,2.29325078184988,4.27452392056869e-05
44,2014-08-01,2.5,2.35968577652688,2.44930846711702,2.56963150602593e-06
45,2014-09-01,2.5,2.19074838890032,2.43906053312125,3.7136186234664e-06
46,2014-10-01,2.5,2.07713732540873,2.77286443660966,7.4455000766309e-05
47,2014-11-01,2.5,1.92410489361783,2.16208925496576,0.000114183671609592
48,2014-12-01,2.5,2.33249121011925,2.43307399667377,4.47908992122267e-06
49,2015-01-01,2.5,1.97056267971869,2.36769798219564,1.75038239151043e-05
50,2015-02-01,2.5,2.05350015170279,2.38098312668374,1.41650161339777e-05
51,2015-03-01,2.5,2.26285237357881,2.42164471081871,6.13955134268424e-06
52,2015-04-01,2.5,1.93727008452749,2.16391723141654,0.000112951627338722
53,2015-05-01,2.5,2.13193383424524,2.17038432032194,0.000108646496289632
54,2015-06-01,2.5,2.03378221675855,2.11357273518225,0.000149326030994529
55,2015-07-01,2.5,2.18570969835733,2.18441299242554,9.9595159349802e-05
56,2015-08-01,2.5,1.89202908599824,2.12388606621055,0.000141461691190577
57,2015-09-01,2.5,1.82668945390689,2.44469912008208,3.05818731969667e-06
58,2015-10-01,2.5,1.69058877972225,2.26423161783473,5.55867300288268e-05
59,2015-11-01,2.5,1.90428896399434,2.08085324625033,0.000175684001178886
60,2015-12-01,2.5,1.96805401524222,2.14867128662275,0.000123431864843315
61,2016-01-01,2.5,1.67322567029526,2.43643942323062,4.03994691925575e-06
62,2016-02-01,2.5,1.98307536273176,2.2899073423925,4.4138924780583e-05
63,2016-03-01,2.5,1.99279520011871,2.30454890734752,3.820112961905e-05
64,2016-04-01,2.5,1.85339833397721,2.26647618358799,5.4533372831631e-05
65,2016-05-01,2.5,2.1011936670035,2.2767790650517,4.9827585799195e-05
66,2016-06-01,2.5,2.04069978968499,2.28689519935889,4.54136560562877e-05
67,2016-07-01,2.5,1.2606807691968,2.52631142207126,6.9229093141217e-07
68,2016-08-01,2.5,1.16124268128859,2.64629709534486,2.14028401063435e-05
69,2016-09-01,2.5,1.17877210459973,2.52503757090171,6.26879956658227e-07
70,2016-10-01,2.5,1.2830249161037,2.5624727816157,3.90284844280281e-06
71,2016-11-01,2.5,1.38397273362094,2.62740137811989,1.62311111468483e-05
72,2016-12-01,2.5,1.56389978829302,2.43390559883324,4.36846986559207e-06
73,2017-01-01,2.5,1.66173468050002,2.80242608904446,9.14615393347305e-05
74,2017-02-01,2.5,1.81710105815145,2.5027289682202,7.44726754687289e-09
75,2017-03-01,2.5,1.649841554731,2.81621444639783,9.99915761106857e-05
76,2017-04-01,2.5,1.54983711353231,2.7511438823286,6.30732496310838e-05
77,2017-05-01,2.5,1.56036764259926,2.46575600613987,1.17265111549294e-06
78,2017-06-01,2.5,1.59870089346075,2.7034606640765,4.13962418264499e-05
79,2017-07-01,2.5,1.59629463653311,2.90574075187797,0.000164625557734498
80,2017-08-01,2.5,1.71696840391119,2.45842054777861,1.7288508470312e-06
81,2017-09-01,2.5,1.67705328938327,2.49431501397486,3.23190661059993e-08
82,2017-10-01,2.5,1.70341945855069,2.50251243644394,6.31233688484207e-09
