"model","min_r5","min_r10","min_rf","median_r5","median_r10","median_rf","sd_r5","sd_r10","sd_rf"
"cap20",0.0169927718600555,0.112371156758746,0.273643903158033,0.364430253356573,0.274217248569243,0.43918568454368,0.154112680601897,0.163069667521527,0.168364647000944
"lr_mean",0.0204855014999255,0.0483472088412128,0.112894243181991,0.371384791283196,0.25281227580255,0.414244614036416,0.155255198192835,0.1638457969934,0.203715561464197
"no_cap",4.86798540894723e-05,0.000137184901021393,0.000657288807356019,0.373997840327437,0.223401153694218,0.372114880165647,0.229467699121088,0.197594301490674,0.228932665730221
