"model","rmse24","rmse5","rmse10","rmse5y5y","tail4_5y","tail4_10y","tail4_5y5y","mean_w1","mean_w8","max_w1","max_w8"
"cap20",5.19199036795802,2.80297117095358,3.39935962282604,7.71071786570419,0.749860854737957,0.955439214701985,11.003462309744,0.142420471614974,0.161377263167842,0.203955533081634,0.212537145003947
"lr_mean",5.07719740952313,2.81719134513351,3.34191523400398,7.51328680589665,0.689353645415162,1.05459692876492,10.2754792381205,NA,NA,-Inf,-Inf
"no_cap",4.97301291011889,2.83639763439386,3.36518983602572,7.28165330983675,0.786751700750532,1.10731458931023,10.0713109482144,NA,NA,-Inf,-Inf
