"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"EZ",1,2011-01-01,4,0.324792153844745,0.352263259373591,0.0274711055288465
"US",1,2011-01-01,4,0.413022992398178,0.457084978313622,0.0440619859154445
"EZ",2,2011-02-01,4,0.335032412722977,0.371711302332854,0.0366788896098774
"US",2,2011-02-01,4,0.436252324519541,0.48007950168945,0.0438271771699097
"EZ",3,2011-03-01,4,0.330018107921581,0.358524190945556,0.028506083023975
"US",3,2011-03-01,4,0.420089284558817,0.458857376119385,0.0387680915605676
"EZ",4,2011-04-01,4,0.333795252567998,0.361698666341529,0.0279034137735314
"US",4,2011-04-01,4,0.548706190344815,0.560753934629102,0.012047744284287
"EZ",5,2011-05-01,4,0.324480918488972,0.352846462552831,0.0283655440638596
"US",5,2011-05-01,4,0.518773389464039,0.529304576102977,0.0105311866389381
"EZ",6,2011-06-01,4,0.323518043412299,0.35599757118718,0.0324795277748809
"US",6,2011-06-01,4,0.434341998019324,0.492227634870175,0.057885636850851
"EZ",7,2011-07-01,4,0.322772545158012,0.357785083688839,0.0350125385308269
"US",7,2011-07-01,4,0.455580702351503,0.519353730716171,0.0637730283646672
"EZ",8,2011-08-01,4,0.308356506103399,0.342746844110731,0.0343903380073321
"US",8,2011-08-01,4,0.411242297820076,0.462650006332631,0.0514077085125551
"EZ",9,2011-09-01,4,0.369148426775247,0.410863972100147,0.0417155453249008
"US",9,2011-09-01,4,0.429526012333399,0.489511902643296,0.0599858903098969
"EZ",10,2011-10-01,4,0.345308782263908,0.38593227838092,0.0406234961170122
"US",10,2011-10-01,4,0.500177694720413,0.512019639838037,0.0118419451176243
"EZ",11,2011-11-01,4,0.287890721126361,0.31812213363408,0.0302314125077185
"US",11,2011-11-01,4,0.403926739240484,0.449180926876467,0.0452541876359837
"EZ",12,2011-12-01,4,0.327968899687198,0.360403478684433,0.0324345789972348
"US",12,2011-12-01,4,0.366042199329174,0.396994963010933,0.0309527636817582
"EZ",13,2012-01-01,4,0.327297831302382,0.358356699088043,0.0310588677856605
"US",13,2012-01-01,4,0.359217930213574,0.386861369455074,0.0276434392414997
"EZ",14,2012-02-01,4,0.366200033803917,0.400654274402219,0.0344542405983021
"US",14,2012-02-01,4,0.377935796602363,0.414772429377978,0.0368366327756153
"EZ",15,2012-03-01,4,0.370866798063529,0.38998842594335,0.0191216278798207
