"area","month","date","H","threshold","q_common_tail","q_forward_tail","wedge","max_qn_error","ez_converged"
"US",1,2011-01-01,6,4,0.356998302796457,0.389871858485152,0.0328735556886944,1.11022302462516e-16,TRUE
"US",1,2011-01-01,6,5,0.252332494726256,0.280560531912693,0.0282280371864371,1.11022302462516e-16,TRUE
"US",1,2011-01-01,7,4,0.389961796415554,0.428992188607041,0.0390303921914866,1.11022302462516e-16,TRUE
"US",1,2011-01-01,7,5,0.275126357541022,0.30844228019879,0.0333159226577679,1.11022302462516e-16,TRUE
"US",1,2011-01-01,8,4,0.417447528892025,0.462071645621173,0.0446241167291471,1.11022302462516e-16,TRUE
"US",1,2011-01-01,8,5,0.294717073057705,0.332632277126306,0.0379152040686009,1.11022302462516e-16,TRUE
"US",1,2011-01-01,9,4,0.440563524610249,0.490214759907229,0.0496512352969796,1.11022302462516e-16,TRUE
"US",1,2011-01-01,9,5,0.311537632467451,0.353569657158704,0.0420320246912534,1.11022302462516e-16,TRUE
"US",1,2011-01-01,10,4,0.460143809276604,0.514274438947519,0.0541306296709149,1.11022302462516e-16,TRUE
"US",1,2011-01-01,10,5,0.325989361868638,0.371677369112572,0.0456880072439338,1.11022302462516e-16,TRUE
"US",2,2011-02-01,6,4,0.396654351561019,0.430245811227902,0.0335914596668831,2.22044604925031e-16,TRUE
"US",2,2011-02-01,6,5,0.319627828617413,0.349603821875825,0.029975993258412,2.22044604925031e-16,TRUE
"US",2,2011-02-01,7,4,0.421986284080089,0.461532179713889,0.0395458956338004,2.22044604925031e-16,TRUE
"US",2,2011-02-01,7,5,0.341171527495757,0.376292924819325,0.0351213973235683,2.22044604925031e-16,TRUE
"US",2,2011-02-01,8,4,0.440955874999115,0.485553310201364,0.0445974352022492,2.22044604925031e-16,TRUE
"US",2,2011-02-01,8,5,0.357153950132816,0.396623205235335,0.0394692551025195,2.22044604925031e-16,TRUE
"US",2,2011-02-01,9,4,0.455323320975533,0.504203605415521,0.0488802844399881,2.22044604925031e-16,TRUE
"US",2,2011-02-01,9,5,0.369193106464725,0.412340676769792,0.043147570305067,2.22044604925031e-16,TRUE
"US",2,2011-02-01,10,4,0.466341790981948,0.518862601888576,0.0525208109066279,2.22044604925031e-16,TRUE
"US",2,2011-02-01,10,5,0.378397308700491,0.42466821877434,0.0462709100738494,2.22044604925031e-16,TRUE
"US",3,2011-03-01,6,4,0.392020733996218,0.422662380318866,0.0306416463226479,1.11022302462516e-16,TRUE
"US",3,2011-03-01,6,5,0.318291097521415,0.345759684074862,0.0274685865534468,1.11022302462516e-16,TRUE
"US",3,2011-03-01,7,4,0.410872560164294,0.446304230675954,0.03543167051166,1.11022302462516e-16,TRUE
"US",3,2011-03-01,7,5,0.335440787295917,0.367080519429319,0.031639732133402,1.11022302462516e-16,TRUE
"US",3,2011-03-01,8,4,0.424102034382713,0.463522530128885,0.0394204957461724,1.11022302462516e-16,TRUE
"US",3,2011-03-01,8,5,0.34738075646224,0.382458642644827,0.0350778861825864,1.11022302462516e-16,TRUE
"US",3,2011-03-01,9,4,0.433424097905204,0.476186108193519,0.0427620102883153,1.11022302462516e-16,TRUE
"US",3,2011-03-01,9,5,0.35574508518809,0.393680144754474,0.0379350595663847,1.11022302462516e-16,TRUE
