"area","threshold","mean_abs_wedge","p90_abs_wedge","max_abs_wedge"
"EZ",4,0.0169922114065623,0.0357536264995102,0.0760721707636549
"US",4,0.0175227300014215,0.0368376010136269,0.0637730283646672
"EZ",5,0.0148544244299419,0.0310073106079128,0.0649249745983962
"US",5,0.0150682072255804,0.0287687275452697,0.055409128062861
