"area","month","threshold","zc_slot","lower","upper","hrr","below","above"
"US",1,4,"N",0.179160506498296,0.723703458208794,0.11472504672076,TRUE,FALSE
"US",2,4,"N",0.168039565954196,0.741921158262382,0.10608057682677,TRUE,FALSE
"US",3,4,"N",0.151095329081881,0.711648199444575,0.100573089882865,TRUE,FALSE
"US",4,4,"N",0.15881683004816,0.684020735718086,0.0817118294596024,TRUE,FALSE
"US",5,4,"N",0.142604918481713,0.62693124356809,0.0991326651592308,TRUE,FALSE
"US",6,4,"N",0.161123570336088,0.663731615737202,0.0844974120902253,TRUE,FALSE
"US",7,4,"N",0.174759020657319,0.697366736075452,0.0848180128661661,TRUE,FALSE
"US",8,4,"N",0.165760100819591,0.679433692803141,0.0881344125088851,TRUE,FALSE
"US",9,4,"N",0.157508372072983,0.667876405104666,0.0732070268445011,TRUE,FALSE
"US",10,4,"N",0.104736043419485,0.599214104161329,0.0587565406974161,TRUE,FALSE
"US",11,4,"N",0.110397573995445,0.638404580331514,0.069478288564373,TRUE,FALSE
"US",12,4,"N",0.097868520399878,0.65219299796926,0.0779489395892731,TRUE,FALSE
"US",13,4,"N",0.0830065376949474,0.659834031314749,0.074317637082323,TRUE,FALSE
"US",14,4,"N",0.1295361276666,0.628283734969173,0.0855764287383134,TRUE,FALSE
"US",15,4,"N",0.119125412946308,0.651078696630177,0.0910944457648102,TRUE,FALSE
"US",16,4,"N",0.121583782935626,0.650363926670722,0.0924430381010869,TRUE,FALSE
"US",17,4,"N",0.121276245184679,0.631831322226369,0.106913606241969,TRUE,FALSE
"US",18,4,"N",0.104001501796552,0.647186481043531,0.0940300727021587,TRUE,FALSE
"US",19,4,"N",0.10321692569958,0.650222890596029,0.0948955697947096,TRUE,FALSE
"US",20,4,"N",0.108111865751304,0.641114769477419,0.101466512051339,TRUE,FALSE
"US",21,4,"N",0.108095673025562,0.624012331261387,0.107057259849678,TRUE,FALSE
"US",22,4,"N",0.125933867146349,0.654578884740311,0.0989004516816693,TRUE,FALSE
"US",23,4,"N",0.145852374024056,0.672473076190812,0.117539633295225,TRUE,FALSE
"US",24,4,"N",0.160737826149974,0.647272581178594,0.117977412783951,TRUE,FALSE
"US",25,4,"N",0.162270250767867,0.642571090366105,0.118698526768593,TRUE,FALSE
"US",26,4,"N",0.171815748603692,0.635754921174576,0.125583893040668,TRUE,FALSE
"US",27,4,"N",0.170153182725504,0.630101365155791,0.118001874860213,TRUE,FALSE
"US",28,4,"N",0.167469576141666,0.629356244956503,0.122078824303067,TRUE,FALSE
"US",29,4,"N",0.151597964919583,0.612240902254613,0.0921014342642633,TRUE,FALSE
"US",30,4,"N",0.142076231007471,0.594198151970223,0.0894067758864124,TRUE,FALSE
"US",31,4,"N",0.146571306290029,0.580638089172009,0.0839896701618606,TRUE,FALSE
"US",32,4,"N",0.159701484895882,0.588686491027954,0.0969728270400872,TRUE,FALSE
"US",33,4,"N",0.12401050564591,0.550053783026326,0.0812607854240628,TRUE,FALSE
"US",34,4,"N",0.13599737181412,0.604639559294142,0.114216870458929,TRUE,FALSE
"US",35,4,"N",0.118155338795871,0.577258505223933,0.0832732155715246,TRUE,FALSE
"US",36,4,"N",0.11990402620899,0.586087046017117,0.0831901884275938,TRUE,FALSE
"US",37,4,"N",0.135719573071485,0.611398076213313,0.0944781100666745,TRUE,FALSE
"US",38,4,"N",0.123999429968803,0.592391371019346,0.0880526083914925,TRUE,FALSE
"US",39,4,"N",0.11816794404143,0.58419881435049,0.0867097097484974,TRUE,FALSE
"US",40,4,"N",0.110184146640817,0.573936564641987,0.0810082229508723,TRUE,FALSE
"US",41,4,"N",0.100097495071152,0.56630093091625,0.0487063855161375,TRUE,FALSE
"US",42,4,"N",0.109484282426958,0.57156269989617,0.0495732127286605,TRUE,FALSE
"US",43,4,"N",0.118221269475398,0.578958329105156,0.094364889431712,TRUE,FALSE
"US",44,4,"N",0.113781400182498,0.571897634516696,0.0915987465618533,TRUE,FALSE
"US",45,4,"N",0.0920339802137654,0.538500620485614,0.0806298567123786,TRUE,FALSE
"US",46,4,"N",0.064684850721807,0.46364871094938,0.057969121975341,TRUE,FALSE
"US",47,4,"N",0.0633694714545237,0.450840041389452,0.0523955610516055,TRUE,FALSE
"US",48,4,"N",0.0534367449967853,0.428807550299758,0.0538486157717058,FALSE,FALSE
"US",49,4,"N",0.0407912741987556,0.433168819413673,0.0870758854668775,FALSE,FALSE
"US",50,4,"N",0.0350038266643097,0.366292717047425,0.0836105449053745,FALSE,FALSE
