"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_p_over_qn_5y5y","ratio_p_over_qr_5y5y"
"US",1,2011-01-01,0.333333333333333,4,0.160958068998397,0.277768760000283,0.415988608032882,0.167686293565679,0.289731311256884,0.431018699979739,0.184351459275564,0.343927665320571,0.162867622841218,0.27159861445829,0.18232961655732,0.334957353776987,0.112749964668288,0.192540802470696,0.325528497263817,TRUE,0.782541855660829,0.755253768059527
"US",1,2011-01-01,1.5,4,0.160958068998397,0.277768760000283,0.415988608032882,0.167686293565679,0.289731311256884,0.431018699979739,0.184351459275564,0.343927665320571,0.162867622841218,0.27159861445829,0.18232961655732,0.334957353776987,0.050889209370456,0.0763431149904134,0.157900970847684,TRUE,0.379580036084072,0.366343666423537
"US",2,2011-02-01,0.333333333333333,4,0.215718992585021,0.313512211462611,0.42383715229319,0.224793137941799,0.328903022792279,0.441738056735856,0.244571981997101,0.386285628030784,0.216849021066603,0.30924893162019,0.243392765306481,0.37829032684772,0.163609687394741,0.22362804819338,0.327893675730402,TRUE,0.773631273134785,0.742280794535371
"US",2,2011-02-01,1.5,4,0.215718992585021,0.313512211462611,0.42383715229319,0.224793137941799,0.328903022792279,0.441738056735856,0.244571981997101,0.386285628030784,0.216849021066603,0.30924893162019,0.243392765306481,0.37829032684772,0.0826007349426541,0.0904195931515387,0.153006188403484,TRUE,0.361002303775488,0.346373118798266
"US",3,2011-03-01,0.333333333333333,4,0.23918842520158,0.308768537813292,0.402831711309961,0.24935548301195,0.325316994000845,0.421685306495282,0.269469780245839,0.380034148403785,0.240742370469539,0.303170236374048,0.267887821967206,0.372923822156657,0.182028724329119,0.219369961435849,0.308608660169559,TRUE,0.766098227882806,0.7318458941206
"US",3,2011-03-01,1.5,4,0.23918842520158,0.308768537813292,0.402831711309961,0.24935548301195,0.325316994000845,0.421685306495282,0.269469780245839,0.380034148403785,0.240742370469539,0.303170236374048,0.267887821967206,0.372923822156657,0.0955970596153687,0.0916458167236357,0.147553735717146,TRUE,0.366291261522879,0.349914340016959
"US",4,2011-04-01,0.333333333333333,4,0.248307901921539,0.305110909455716,0.406855324974091,0.267862075750194,0.333207756758439,0.430425343167463,0.282849107376867,0.362169212670263,0.247097894311529,0.305496127007492,0.273721702045369,0.378352579239846,0.177627164039666,0.188464094310722,0.297379278154194,TRUE,0.730921435458983,0.690896302633588
"US",4,2011-04-01,1.5,4,0.248307901921539,0.305110909455716,0.406855324974091,0.267862075750194,0.333207756758439,0.430425343167463,0.282849107376867,0.362169212670263,0.247097894311529,0.305496127007492,0.273721702045369,0.378352579239846,0.133160169448894,0.124503261972234,0.221589072875852,TRUE,0.544638497455975,0.514814186463084
"US",5,2011-05-01,0.333333333333333,4,0.334106953177463,0.311533774087927,0.36521226790704,0.356964833425027,0.340338787528434,0.388359032186108,0.372242017960845,0.369001696294527,0.335803526081697,0.308018290752856,0.362094264538594,0.377045234804637,0.245350042754431,0.194082176132049,0.265988452788561,TRUE,0.728311932983219,0.684903480398765
"US",5,2011-05-01,1.5,4,0.334106953177463,0.311533774087927,0.36521226790704,0.356964833425027,0.340338787528434,0.388359032186108,0.372242017960845,0.369001696294527,0.335803526081697,0.308018290752856,0.362094264538594,0.377045234804637,0.197001391310641,0.136193586897128,0.202425918222013,TRUE,0.55426921823321,0.521233965082617
"US",6,2011-06-01,0.333333333333333,4,0.177903794618667,0.268559386557916,0.417641690026713,0.184378231058034,0.279004333464914,0.427597600752187,0.198316718717857,0.316492528845196,0.175915624620748,0.264426969089354,0.195358011987829,0.327559516837272,0.145436929919055,0.199314583406217,0.339979849334998,TRUE,0.814046723432356,0.795092976988034
