"threshold","horizon","n_na","min","p05","median","max"
4,"5y",0,0.193440464926697,0.267844679047231,0.434820544153746,0.932340793410764
4,"10y",0,0.132724391270187,0.214868426041292,0.30164936286347,0.825769302470951
4,"5y5y",0,0.315679322971962,0.343705276837144,0.593563246287311,0.977877671576869
5,"5y",14,0.117998208537623,0.130670962678326,0.215714771090018,0.474838004268576
5,"10y",0,0.0567478489453509,0.0719489587198123,0.0917873088962611,0.219621801442532
5,"5y5y",0,0.113762022081546,0.116401640985942,0.248851916919168,0.448979182080551
