"model","rmse24","rmse5","rmse10","rmse5y5y","tail4_5y","tail4_10y","tail4_5y5y","tail0_10y"
"baseline_6p",5.46300994949375,3.45220447217428,3.82937037297918,7.71257323455513,0.971076622660075,1.45148562943363,4.20938054983374,2.65483357665752
"weighted_24_tail",4.97301291011889,2.83639763439386,3.36518983602572,7.28165330983675,0.786751700750532,1.10731458931023,10.0713109482144,4.50603061712602
"spot_6p",5.16102441281332,1.40637703840586,1.58617665350605,8.57034800674865,0.517755511648981,0.870135265405536,9.71219099581369,1.51655903145529
