"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged"
"EZ",1,2011-01-01,1.5,4,0.117267900316836,0.170153317305124,0.256630857893838,0.123011962468461,0.180709173749164,0.270564847721333,0.135702986539172,0.222896935212894,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0447579521747392,0.0434549468264533,0.0856773496799378,TRUE
"EZ",1,2011-01-01,1.5,5,0.0467811808922199,0.0519848041470583,0.165652698513975,0.0494228117139646,0.0560134419805314,0.175998001514022,0.056593346593843,0.0753920114896211,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.0109298145797192,0.0067302328099426,0.0361551812075887,TRUE
"EZ",2,2011-02-01,1.5,4,0.123683018186179,0.191866940171194,0.283713656523174,0.129333230608288,0.202504644489064,0.297531680116698,0.142490892157755,0.248143733531706,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0460223565553385,0.0486288290306363,0.0932330655002111,TRUE
"EZ",2,2011-02-01,1.5,5,0.0497789880205435,0.0601419579686391,0.18870229434032,0.0523947775953856,0.0643232644866233,0.199249930283003,0.0599364066711223,0.0860071561139165,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.0112330702080912,0.00769013904125245,0.0402231235470964,TRUE
"EZ",3,2011-03-01,1.5,4,0.144574830779743,0.187902184570054,0.266781614668924,0.151428474082336,0.199755975969504,0.281608851876297,0.165302133958287,0.242447933630457,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.056705503540221,0.0505665383279758,0.0916907221437602,TRUE
"EZ",3,2011-03-01,1.5,5,0.0552907859108498,0.0586768752887598,0.165737002051891,0.0584882690564143,0.0634846430719974,0.176706927056636,0.0661703940540907,0.0837310702764992,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.0134042913675655,0.00778706410591413,0.0371751824489385,TRUE
"EZ",4,2011-04-01,1.5,4,0.143721210158831,0.192086500409008,0.275249970774384,0.150346268340958,0.203759463506926,0.289770979177115,0.163604984517805,0.245228366627273,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0579423732049998,0.0536074165825605,0.09845257331533,TRUE
"EZ",4,2011-04-01,1.5,5,0.0530215052522782,0.0562407835103374,0.16646672781535,0.0560489459582911,0.0607857129958699,0.177096357056899,0.0632407705290547,0.0796459629426286,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.0130299734400254,0.00757247095112911,0.0382916918095601,TRUE
"EZ",5,2011-05-01,1.5,4,0.121111754744987,0.172650881849643,0.266873661882666,0.12673078971064,0.182906477974615,0.280047368510629,0.137981417230074,0.218857739454664,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0528770941943907,0.051955839394633,0.105694763304057,TRUE
"EZ",5,2011-05-01,1.5,5,0.0420026857313597,0.0422022251718337,0.15234825968241,0.0444044955834629,0.0456128917056958,0.161557300987,0.0502236622688147,0.0597893463308055,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.0108617038139615,0.00597087712603571,0.037877429853145,TRUE
"EZ",6,2011-06-01,1.5,4,0.123477193009116,0.176099903668725,0.261338468748264,0.129376645665403,0.186853517987256,0.275275354234831,0.142078046976959,0.228595329733422,0.129630484419962,0.161598281409623,0.147287828467813,0.210275627630863,0.0473400552991532,0.0455896278614298,0.087783102183936,TRUE
"EZ",6,2011-06-01,1.5,5,0.0482541171672229,0.0537617531531363,0.166492887319549,0.0509651252042598,0.0579328765399443,0.176850823068958,0.0580798382131758,0.077264864976101,0.0318409461977015,0.0479539836129765,0.0392192116486301,0.0733765211601261,0.0113056969628879,0.00696062061997278,0.036394156306028,TRUE
