"area","threshold","mean_lower","mean_upper","mean_hrr_series","mean_ngmmr","share_hrr_below_lower","share_hrr_above_upper","min_hrr_minus_lower_pp","max_hrr_minus_upper_pp"
"US",4,0.0604726223094404,0.448927436896799,0.0570276760710819,0.169714339389242,0.469879518072289,0,-8.99410077911527,-13.7732220637083
"US",5,0.0181148290255236,0.282360421827603,0.00169538319566056,0.0703511728143102,0.939759036144578,0,-8.02421842436441,-6.37279936918968
"EZ",4,0.03198120552452,0.327963692992028,0.0644450302395379,0.112732038064603,0.036144578313253,0,-0.886082567886629,-6.69043192875542
"EZ",5,0.0102853512420852,0.209322375881773,0.0308281786196235,0.0370682451923124,0.0240963855421687,0,-0.0430537355333111,-2.52713072917429
