"area","month","date","threshold","lower","upper","hrr_series","ngmmr_5y5y","below_lower","above_upper"
"US",1,2011-01-01,4,0.179160506498296,0.723703458208794,0.11472504672076,0.419864631625662,TRUE,FALSE
"US",2,2011-02-01,4,0.168039565954196,0.741921158262382,0.10608057682677,0.390499213448643,TRUE,FALSE
"US",3,2011-03-01,4,0.151095329081881,0.711648199444575,0.100573089882865,0.389899339752954,TRUE,FALSE
"US",4,2011-04-01,4,0.15881683004816,0.684020735718086,0.0817118294596024,0.319680184859395,TRUE,FALSE
"US",5,2011-05-01,4,0.142604918481713,0.62693124356809,0.0991326651592308,0.365854034656015,TRUE,FALSE
"US",6,2011-06-01,4,0.161123570336088,0.663731615737202,0.0844974120902253,0.266996491670625,TRUE,FALSE
"US",7,2011-07-01,4,0.174759020657319,0.697366736075452,0.0848180128661661,0.27433564982223,TRUE,FALSE
"US",8,2011-08-01,4,0.165760100819591,0.679433692803141,0.0881344125088851,0.295265591172309,TRUE,FALSE
"US",9,2011-09-01,4,0.157508372072983,0.667876405104666,0.0732070268445011,0.220424636995394,TRUE,FALSE
"US",10,2011-10-01,4,0.104736043419485,0.599214104161329,0.0587565406974161,0.176899767941604,TRUE,FALSE
"US",11,2011-11-01,4,0.110397573995445,0.638404580331514,0.069478288564373,0.204897773938816,TRUE,FALSE
"US",12,2011-12-01,4,0.097868520399878,0.65219299796926,0.0779489395892731,0.281558910636213,TRUE,FALSE
"US",13,2012-01-01,4,0.0830065376949474,0.659834031314749,0.074317637082323,0.248664976010294,TRUE,FALSE
"US",14,2012-02-01,4,0.1295361276666,0.628283734969173,0.0855764287383134,0.330336844379205,TRUE,FALSE
"US",15,2012-03-01,4,0.119125412946308,0.651078696630177,0.0910944457648102,0.353599460278821,TRUE,FALSE
"US",16,2012-04-01,4,0.121583782935626,0.650363926670722,0.0924430381010869,0.346425680904903,TRUE,FALSE
"US",17,2012-05-01,4,0.121276245184679,0.631831322226369,0.106913606241969,0.345890098606649,TRUE,FALSE
"US",18,2012-06-01,4,0.104001501796552,0.647186481043531,0.0940300727021587,0.311041983624661,TRUE,FALSE
"US",19,2012-07-01,4,0.10321692569958,0.650222890596029,0.0948955697947096,0.304838950597655,TRUE,FALSE
"US",20,2012-08-01,4,0.108111865751304,0.641114769477419,0.101466512051339,0.319877070069409,TRUE,FALSE
"US",21,2012-09-01,4,0.108095673025562,0.624012331261387,0.107057259849678,0.312943756366164,TRUE,FALSE
"US",22,2012-10-01,4,0.125933867146349,0.654578884740311,0.0989004516816693,0.346678488407224,TRUE,FALSE
"US",23,2012-11-01,4,0.145852374024056,0.672473076190812,0.117539633295225,0.376473776362224,TRUE,FALSE
"US",24,2012-12-01,4,0.160737826149974,0.647272581178594,0.117977412783951,0.384123874964307,TRUE,FALSE
"US",25,2013-01-01,4,0.162270250767867,0.642571090366105,0.118698526768593,0.392819958405146,TRUE,FALSE
"US",26,2013-02-01,4,0.171815748603692,0.635754921174576,0.125583893040668,0.393057023062915,TRUE,FALSE
"US",27,2013-03-01,4,0.170153182725504,0.630101365155791,0.118001874860213,0.402213625766706,TRUE,FALSE
"US",28,2013-04-01,4,0.167469576141666,0.629356244956503,0.122078824303067,0.393299335154819,TRUE,FALSE
"US",29,2013-05-01,4,0.151597964919583,0.612240902254613,0.0921014342642633,0.356389521687473,TRUE,FALSE
"US",30,2013-06-01,4,0.142076231007471,0.594198151970223,0.0894067758864124,0.342110101581748,TRUE,FALSE
"US",31,2013-07-01,4,0.146571306290029,0.580638089172009,0.0839896701618606,0.346180953762521,TRUE,FALSE
"US",32,2013-08-01,4,0.159701484895882,0.588686491027954,0.0969728270400872,0.363532230066168,TRUE,FALSE
"US",33,2013-09-01,4,0.12401050564591,0.550053783026326,0.0812607854240628,0.30574056110133,TRUE,FALSE
"US",34,2013-10-01,4,0.13599737181412,0.604639559294142,0.114216870458929,0.415993393089999,TRUE,FALSE
"US",35,2013-11-01,4,0.118155338795871,0.577258505223933,0.0832732155715246,0.308767443419377,TRUE,FALSE
