"threshold","horizon","n_na","min","p05","median","max"
4,"5y",0,0.248301317886477,0.282437022013569,0.443834308347003,0.932340793410764
4,"10y",0,0.168223932876077,0.21503697983228,0.336086985058674,0.825769302470951
4,"5y5y",0,0.340439123068338,0.374515264154105,0.594083693935186,0.987851228899586
5,"5y",14,0.147292390803347,0.162774570355953,0.215717075104404,0.474838004268576
5,"10y",0,0.0683099231439419,0.0792581971456498,0.0931296135227043,0.219621801442532
5,"5y5y",0,0.144419665557327,0.148319725474318,0.248183630394591,0.448979182080551
