"model","sd_p_5y","sd_p_10y","sd_p_5y5y","sd_ratio_5y","sd_ratio_10y","sd_ratio_5y5y","mean_ratio_5y","mean_ratio_10y","mean_ratio_5y5y"
"baseline_6p_5y5y",0.0474726494425804,0.0298746896836755,0.0656656051149824,0.277321419262027,0.191432299301147,0.234275664449904,0.349062041484478,0.266908984839071,0.441151747095843
"spot_6p",0.040650949249881,0.0231117310202279,0.0410200866379463,NA,NA,0.225607842902409,NA,NA,0.526741383066514
"spot_7p_common_shape",0.0369318938517541,0.0200814740876823,0.038113329033531,NA,NA,NA,NA,NA,NA
