"model","min_qr_5y","min_qr_10y","min_qr_5y5y","n_ratio_5y","n_ratio_10y","n_ratio_5y5y","sd_ratio_5y","sd_ratio_10y","sd_ratio_5y5y","mean_ratio_5y","mean_ratio_10y","mean_ratio_5y5y"
"baseline_6p_5y5y",1.30837709490694e-112,3.28441963048617e-07,0.0472445324006815,138,165,166,0.254781969221545,0.184732372701125,0.234275664449904,0.360957989401835,0.262855799096264,0.441151747095843
"spot_6p",0,0,3.41671275791294e-94,145,148,163,0.158135783120379,0.189381877360243,0.220913967197056,0.458619731216474,0.341099694509085,0.519411016004155
"spot_7p_common_shape",0,0,0,134,145,154,0.190827458758359,0.340153692477626,0.331070613824803,0.412189114808944,0.328702063973603,0.492150673378942
