"area","month","date","threshold","horizon","q_target","q_ngmmr","q_hrr_form_refit"
"EZ",1,2011-01-01,4,"10y",0.155624089911431,0.179314025105373,0.185790361544079
"EZ",2,2011-02-01,4,"10y",0.179027188902014,0.20150224883011,0.203122711799518
"EZ",3,2011-03-01,4,"10y",0.17475066117347,0.196696541786699,0.199710581162246
"EZ",4,2011-04-01,4,"10y",0.178597667752321,0.200240984827695,0.203722795558628
"EZ",5,2011-05-01,4,"10y",0.158024100058178,0.181952882498899,0.186567586856376
"EZ",6,2011-06-01,4,"10y",0.161598281409623,0.186315858876887,0.189313754194592
"EZ",7,2011-07-01,4,"10y",0.153457198937639,0.178226666546607,0.187417907118124
"EZ",8,2011-08-01,4,"10y",0.138609698434634,0.165450159361735,0.17064513389438
"EZ",9,2011-09-01,4,"10y",0.118276483986414,0.132117933625589,0.155131339819036
"EZ",10,2011-10-01,4,"10y",0.0926968456740339,0.106057363425401,0.130295971037655
"EZ",11,2011-11-01,4,"10y",0.113912984319272,0.14356653533389,0.15148879604233
"EZ",12,2011-12-01,4,"10y",0.161584700834917,0.187834939585066,0.191606505490151
"EZ",13,2012-01-01,4,"10y",0.154789188013373,0.181206173910917,0.185330593033549
"EZ",14,2012-02-01,4,"10y",0.193429814843441,0.215035401901779,0.219447613243701
"EZ",15,2012-03-01,4,"10y",0.155704525983647,0.171666891772977,0.186789292710497
"EZ",16,2012-04-01,4,"10y",0.162377327558104,0.187318939704681,0.192940603352234
"EZ",17,2012-05-01,4,"10y",0.164614552301414,0.183408626439758,0.193941602889198
"EZ",18,2012-06-01,4,"10y",0.124292646307582,0.133570586363263,0.15877258401445
"EZ",19,2012-07-01,4,"10y",0.14734040371092,0.153738977564071,0.17881653883375
"EZ",20,2012-08-01,4,"10y",0.140480112345504,0.160840875643177,0.172483195740674
"EZ",21,2012-09-01,4,"10y",0.167538037713377,0.184257538760734,0.19317877773475
"EZ",22,2012-10-01,4,"10y",0.183012029872382,0.198710733379627,0.214832251008163
"EZ",23,2012-11-01,4,"10y",0.156985165515091,0.174933996988684,0.191347578528991
"EZ",24,2012-12-01,4,"10y",0.14880240430324,0.165198742323362,0.17772390524777
"EZ",25,2013-01-01,4,"10y",0.154743588825564,0.178042079657364,0.178942215231524
"EZ",26,2013-02-01,4,"10y",0.150100419901599,0.170571109333607,0.174573750387246
"EZ",27,2013-03-01,4,"10y",0.143333788885412,0.163432943365153,0.168839056175734
"EZ",28,2013-04-01,4,"10y",0.141973984817912,0.161618940252854,0.167492315042619
"EZ",29,2013-05-01,4,"10y",0.127501572258764,0.144041276458023,0.155793209104286
"EZ",30,2013-06-01,4,"10y",0.115712627898119,0.12953466379431,0.144416323497397
"EZ",31,2013-07-01,4,"10y",0.0884303340783827,0.103348020104242,0.119126415697714
"EZ",32,2013-08-01,4,"10y",0.0914081779979831,0.106934448894358,0.121449896913517
"EZ",33,2013-09-01,4,"10y",0.0969413108811764,0.11527934644939,0.129437752762669
"EZ",34,2013-10-01,4,"10y",0.0791074987121413,0.0965794284548088,0.104411341037958
"EZ",35,2013-11-01,4,"10y",0.0734902110023187,0.0944734827731331,0.101315279658263
"EZ",36,2013-12-01,4,"10y",0.0677545420063309,0.0830383417742124,0.0959792442569901
"EZ",37,2014-01-01,4,"10y",0.0709135660162864,0.0897702434343567,0.0987339952518986
"EZ",38,2014-02-01,4,"10y",0.0642950257732804,0.0824069343137471,0.0932353316588519
"EZ",39,2014-03-01,4,"10y",0.0630761854912819,0.0831926659354564,0.0914959683993101
"EZ",40,2014-04-01,4,"10y",0.0646445984704569,0.0814755618382536,0.0923022632768579
"EZ",41,2014-05-01,4,"10y",0.0574069243831907,0.0728698297456727,0.0848795454208288
"EZ",42,2014-06-01,4,"10y",0.0526900798101765,0.0631219831458333,0.0798349444160892
"EZ",43,2014-07-01,4,"10y",0.0528302980540976,0.070063645908023,0.0797828393892635
"EZ",44,2014-08-01,4,"10y",0.0452237895607408,0.0573649966572222,0.0736418532410642
"EZ",45,2014-09-01,4,"10y",0.0381170610461545,0.0510248431618488,0.0668354619360802
"EZ",46,2014-10-01,4,"10y",0.028255573956124,0.0393233149024666,0.0564901071236484
"EZ",47,2014-11-01,4,"10y",0.019814925579369,0.031302049794873,0.0474139057382078
"EZ",48,2014-12-01,4,"10y",0.0139542609887892,0.0208607404745051,0.0396465718001305
"EZ",49,2015-01-01,4,"10y",0.0114218369331344,0.0187012238485913,0.0350960455964781
"EZ",50,2015-02-01,4,"10y",0.017295498774344,0.0265173750155881,0.0387705767454061
"EZ",51,2015-03-01,4,"10y",0.0183723330366322,0.0291381442169826,0.0401878517567204
"EZ",52,2015-04-01,4,"10y",0.0224546748259687,0.0331113050033812,0.0481039560804008
