"area","threshold","horizon","hrr_form_rmse_pp","ngmmr_rmse_pp"
"US",4,"5y",2.99641974260948,0.849265819149171
"US",4,"10y",1.59236349037208,0.994470816596811
"US",4,"5y5y",9.21485550281255,2.84769839902812
"US",5,"5y",3.07335896333798,2.45446939548808
"US",5,"10y",2.53040395191173,2.7609252953586
"US",5,"5y5y",9.44304480718049,6.20642183946088
"EZ",4,"5y",1.97854574769436,0.971076622660077
"EZ",4,"10y",2.2873214647823,1.45148562943363
"EZ",4,"5y5y",10.8105148910485,4.20938054983374
"EZ",5,"5y",2.03219867463064,1.96664661612087
"EZ",5,"10y",1.8851752352115,1.94023294481095
"EZ",5,"5y5y",10.53651421326,9.35649773777561
