"threshold","horizon","min","p05","median","max"
4,"5y",0.166822613548312,0.217138769160451,0.388691941586971,1.15400060464677
4,"10y",0.161081489611027,0.177008108389426,0.28289643334266,1.98838260224437
4,"5y5y",0.301938039796429,0.32249343496841,0.43560840649903,1.32390697624923
5,"5y",0.078552779525057,0.150467254163346,0.238056137359235,0.543439114397722
5,"10y",0.0475225758537954,0.0618310752633452,0.11672760688662,0.288703150429909
5,"5y5y",0.121879055616811,0.192562677573033,0.272153768858182,1.05060934378832
