"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",1,2011-01-01,1.5,4,0.118062823149544,0.16435013950527,0.245751283038383,0.123037345892559,0.173162117559263,0.257761778822061,0.135461464816317,0.212979167427924,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0519422920858298,0.0520557282513038,0.0983943447656809,TRUE,0.422166877130038,0.300618455035284,0.381725891306814
"EZ",1,2011-01-01,1.5,5,0.0393006695450059,0.0436497817036719,0.14091769520246,0.0413354872558251,0.0466421078175985,0.149144323905648,0.0473760222156372,0.0630110412110529,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.00987263596118708,0.00610407724668774,0.0337563243899994,TRUE,0.238841649551278,0.130870527347493,0.226333282461051
"EZ",2,2011-02-01,1.5,4,0.12806185511953,0.183574115095022,0.260588884644493,0.132906293611165,0.192086135639578,0.271889662025177,0.145686129260267,0.235174004840848,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0556594511888641,0.0594432814264883,0.104449522088048,TRUE,0.418787174606668,0.309461592470291,0.384161432656369
"EZ",2,2011-02-01,1.5,5,0.0403660728599601,0.050129187122125,0.149089787509065,0.0422965130001053,0.0531914407680378,0.156960436892725,0.0483118847562521,0.0714549124410941,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.00972090560807174,0.00683367291058043,0.0347151383212844,TRUE,0.229827589050841,0.128473168086974,0.221171264609888
"EZ",3,2011-03-01,1.5,4,0.143092260958287,0.185098440180593,0.264761117943284,0.149092492184905,0.195176928075619,0.277739126053208,0.162667157691405,0.235856250419922,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.0628127858681621,0.0597198260310273,0.106405310393952,TRUE,0.421300797563041,0.305977897182036,0.383112426059723
"EZ",3,2011-03-01,1.5,5,0.0472316958915595,0.0500164859808555,0.148646568006789,0.049758971443292,0.0536703447793003,0.157611876660838,0.0564242325218918,0.0709436870788549,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.0120788101806575,0.0071047961780375,0.0362072842401098,TRUE,0.242746379804558,0.132378433700275,0.229724339353078
"EZ",4,2011-04-01,1.5,4,0.141387791768367,0.188988635585282,0.275063244371639,0.147150712025693,0.198847779367606,0.287798173645168,0.160124761637666,0.238250972879415,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0645966110940339,0.0639584367154815,0.116607317485027,TRUE,0.438982660734628,0.321645214841665,0.405170456810453
"EZ",4,2011-04-01,1.5,5,0.0449612678794376,0.0473426893711549,0.149784750717328,0.0473181942540935,0.0507138407054121,0.158434581944849,0.0535589473268111,0.0666403329460647,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.0118055005465265,0.00692229509580058,0.0379429672024644,TRUE,0.24949178075419,0.136497157373881,0.239486649547712
"EZ",5,2011-05-01,1.5,4,0.115271271352662,0.171817470722765,0.263573076646346,0.119913953490435,0.180374746431275,0.275062798644048,0.130889728694609,0.216973484257817,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0532811735676811,0.0567734249791476,0.112003916700605,TRUE,0.444328387287567,0.314752625311542,0.407193983529365
"EZ",5,2011-05-01,1.5,5,0.0365026136305685,0.0405787556686632,0.146751177283538,0.0383344408502571,0.0432740461638083,0.154573556226665,0.0436012893120152,0.0573445881983028,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.00944854461932531,0.00582853840390179,0.0367644521277293,TRUE,0.24647665153728,0.134689009246758,0.237844383122158
