"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","persistence_cap","persistence_weight","q11_ngmmr","q88_ngmmr","persistence_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00445758539521771,0.00773470247561108,6.35597103331574,5.76429026270942,2.54470053469383,1.8940203165419,4.49351804352049,3.02098663634214,9.7225458656841,9.32563421338562,0.066975717855138,0.0417824187941406,0.0215885218784038,0.123179025740542,0.110527686134561,0.119831959039838,0.0775304882125849,0.016020627052459,0.0617599839111298,0.155624089911431,0.100440049248804,0.172850818959502,0.282815808957817,0.130728996436,0.137857367847425,0.367338084113891,0.192725084161538,0.238852107973195,0.367338084113891,NA,NA,NA,NA,2.5,10,2.23559631473613,2.08835013683626,0.000169455609842726,0.111144864505971,0.157448486671688,0.2,5,0,0.85,5,0.781224532485176,0.851739124054148,7.56138118928754e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00377234826820841,0.0104876932740913,6.63407220444246,5.36724055642649,2.81350155984581,1.56341616361053,4.62830803764595,2.77467009078447,10.1338894666695,8.73377062661456,0.0459998198980594,0.0315972397278663,0.0213241060504674,0.128901011844846,0.113374238569991,0.129403249875499,0.0711716647058156,0.0120028079167241,0.063937635142573,0.179027188902014,0.106232163113447,0.19205404001135,0.275372115918388,0.113379890017154,0.134545720276619,0.374794874885846,0.196920961848142,0.263865687363993,0.374794874885846,NA,NA,NA,NA,2.5,10,2.31069448976154,2.19262965944441,9.4476526253257e-05,0.131497264225823,0.180525969428156,0.2,5,0,0.85,5,0.815630496184226,0.851758716460059,7.73270896720797e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00398768347544326,0.0078844473339899,6.21053186594582,5.35139170379569,3.47063637960983,1.60021342263397,4.0566919206981,3.47342987895408,9.33863223148106,8.44314996789535,0.0335272367788504,0.0315723795394635,0.0306404660615536,0.149247085176377,0.125601982026781,0.138801038906912,0.0628535802746739,0.0119634054584088,0.0694106809771455,0.17475066117347,0.11816488216701,0.1930149014922,0.27603101818552,0.112467057921072,0.141406811742382,0.364312181103031,0.212635724378159,0.26424072891968,0.364312181103031,NA,NA,NA,NA,2.5,10,2.37922278578408,2.20239293261528,8.85699665573347e-05,0.113977653557359,0.165912085294186,0.2,5,0,0.85,5,0.796609788434818,0.851788830207013,7.99978377380576e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00417802158448585,0.0108832598592835,6.91334830110788,5.58149339625468,4.1013968952773,2.82971008149673,4.53660780605399,3.75839497698182,10.2947019052886,8.44549664904186,0.030163851097324,0.0193234240933994,0.0299950234132268,0.148849950702839,0.114883049997261,0.140742329454311,0.057860404915623,0.00726034882342973,0.0658353888404523,0.178597667752321,0.110832620777457,0.194653532615996,0.266555778757823,0.0887942023126764,0.131509730903242,0.368404144606299,0.199356735472341,0.27090956179026,0.368404144606299,NA,NA,NA,NA,2.5,10,2.40715047938816,2.27709394152861,4.96871109032513e-05,0.114165121727808,0.165765931454275,0.2,5,0,0.85,5,0.825420444673357,0.851815426796161,8.23943613054729e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.004401503574358,0.0129917815317718,7.6257854923966,5.79147541788792,4.38231127456782,2.94036494295768,5.57214003041493,4.10099207282737,11.144703517922,8.66946829793112,0.0269858622648177,0.0154054394311256,0.0198298089876104,0.128351111479299,0.0904100150130469,0.122474649319286,0.0484081090997246,0.00527438760971656,0.0503869785864908,0.158024100058178,0.0858984427464254,0.172958412728861,0.247192208119801,0.0757310608220692,0.110825849075398,0.36658247465909,0.16566467352136,0.251825556065754,0.36658247465909,NA,NA,NA,NA,2.5,10,2.32364256962011,2.34616344000313,2.3665687191672e-05,0.0959933890258713,0.1557860003327,0.2,5,0,0.85,5,0.825095856085481,0.851427227675176,5.09244709196836e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00433728977537571,0.0179872964686475,8.78290145037648,5.65216893634026,5.51534757070028,1.81164211320726,5.95513204847605,3.57213226538673,12.866056782117,8.93302104481046,0.0503773263836258,0.0474963806305675,0.0216520328738522,0.129630484419962,0.0864484064335124,0.123189491765267,0.06536498626884,0.0132751434119284,0.0608639007080458,0.161598281409623,0.0712816212556653,0.179007100285143,0.273005533617507,0.13683490125054,0.133711486694656,0.369424574083451,0.151102488957856,0.24879477675496,0.369424574083451,NA,NA,NA,NA,2.5,10,2.08137219563916,2.17142616807655,0.00010796076302486,0.111674686832722,0.165058803151527,0.2,5,0,0.85,5,0.789989927503226,0.851815684630233,8.24177669116253e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00432366138892757,0.014615331478386,7.63669848341247,5.73150500677748,3.32620499021982,2.52687038980185,5.78205276394633,3.86568348583537,11.4219839510323,8.78759729099076,0.0398099181041194,0.0255929881830211,0.0143821794894057,0.112078959413286,0.0785524145328387,0.111615989167056,0.0493349123288688,0.00849281607913916,0.0496724195313767,0.153457198937639,0.071077260730604,0.166958156451412,0.247663624633296,0.09771871773856,0.11478608100831,0.372996103050749,0.147021011839113,0.240614278839897,0.372996103050749,NA,NA,NA,NA,2.5,10,2.17416930597087,2.26104031935663,5.71017289731806e-05,0.106101468456259,0.16467380856648,0.2,5,0,0.85,5,0.812880673788564,0.851384104799376,4.78936523914155e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00468846670689776,0.0122016596488207,7.39048145210826,5.94056720387762,3.06283987715918,2.28854811457497,5.59225670840723,3.70490240033145,11.0996993236766,9.32240644054166,0.0471731837385971,0.0357196683660506,0.0247226133125169,0.104864324524001,0.0767358900636269,0.106710603744977,0.0568665284719593,0.0119437207282197,0.0569789604560471,0.138609698434634,0.0663664768897881,0.149736220780115,0.261941613490965,0.117851056329012,0.126896620721763,0.361607851911802,0.14248599920538,0.222053680027385,0.361607851911802,NA,NA,NA,NA,2.5,10,2.08985498612533,2.14417390634987,0.000126612208922309,0.0918880886429186,0.132543630669671,0.2,5,0,0.85,5,0.765212001027074,0.85153056208516,5.85655074131994e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00511978311737485,0.00947868149557251,7.19932381858538,6.24095724154525,2.8518287685534,2.89833782683429,5.50016514104357,3.38377064258598,10.8215547141182,9.84877535292095,0.059493421307365,0.0453626413582243,0.0277079182555726,0.0920890223638392,0.072489721034596,0.0957058092287711,0.0696125183927301,0.0156727085460939,0.0581935661722124,0.118276483986414,0.0604222025844576,0.129664583838801,0.278875199407572,0.13643337876648,0.132742450469604,0.345666260095333,0.135180353353011,0.196909251303293,0.345666260095333,NA,NA,NA,NA,2.5,10,1.99576601823441,2.00152879629492,0.000248473540923187,0.0844929719544684,0.109514445198951,0.2,5,0,0.85,5,0.726106159156511,0.851567486470971,6.14253459169317e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00551220073320567,0.0085292895557114,7.23041720204834,6.74325370598048,3.36750725285071,3.76230725589066,5.72150216388215,3.709088922463,10.6189032690631,10.4164348558993,0.0534025458217502,0.0517317521761599,0.0124877199506484,0.074200188033755,0.0545590669797952,0.0782301402636467,0.0661633498502533,0.0188700979163178,0.0349067995156761,0.0926968456740339,0.0445370440776926,0.104080717432143,0.281824584162114,0.150786631089104,0.104964353504618,0.322063853625417,0.108571920904458,0.163993078316315,0.322063853625417,NA,NA,NA,NA,2.5,10,1.82806792579184,1.99768643753072,0.000252318915040575,0.0496152851875064,0.0915509707693892,0.2,5,0,0.85,5,0.686859177978739,0.851077553903836,2.90280603918238e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
