"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",1,2011-01-01,1.5,4,0.123531077804568,0.162064785313675,0.222814005761418,0.128527896392973,0.170784412964104,0.233883630782744,0.141018964444678,0.210673455445786,0.123179025740542,0.155624089911431,0.140477162326483,0.202661879836208,0.0475818414562385,0.040154883187322,0.0762837556553511,TRUE,0.37020633490147,0.235120304543025,0.326161157153454
"EZ",1,2011-01-01,1.5,5,0.0453589783173136,0.055894506683605,0.137116869137287,0.0476911542516935,0.0597882430683673,0.145448984037974,0.0542613946621256,0.0799551853643897,0.0282488438529844,0.0429752279115883,0.0347863433516167,0.0654805385995707,0.00912143309034259,0.00581232318158072,0.0241519413176087,TRUE,0.191260480763447,0.0972151527338641,0.166050945473109
"EZ",2,2011-02-01,1.5,4,0.130461365512717,0.184044212795764,0.248060893282175,0.134840022441834,0.192067137896541,0.257747691535929,0.14706895690583,0.235412446312169,0.128901011844846,0.179027188902014,0.145227273893498,0.22980576741752,0.0524147771107517,0.0509082916608704,0.09156205347791,TRUE,0.388718246716119,0.265054668999612,0.355239082578347
"EZ",2,2011-02-01,1.5,5,0.0368700773637669,0.0598380333205772,0.151031947247749,0.03860847794026,0.0635589410112338,0.158762704046349,0.0438358695669711,0.084480871295342,0.0260950138553416,0.0495386559221063,0.0317350541168899,0.0741265916692036,0.00783674533218007,0.00682953726115299,0.0300277683128955,TRUE,0.202979908824846,0.107452030390907,0.189136160745469
"EZ",3,2011-03-01,1.5,4,0.147213084106893,0.18275120116918,0.23703957301478,0.153129203537534,0.192247729563264,0.248448038238528,0.166988278764253,0.234807240859441,0.149247085176377,0.17475066117347,0.166631031967904,0.224583162283709,0.0530266145966382,0.0422329307984461,0.0769680730625803,TRUE,0.346286752439359,0.219679737671743,0.309795455050788
"EZ",3,2011-03-01,1.5,5,0.0608764333026361,0.0710902519468883,0.149185702840305,0.0638815327646029,0.0758315620916906,0.157901264063302,0.0721097537854652,0.0998369221311216,0.0288729786779343,0.0496346468488812,0.0347050413181717,0.0747852130298294,0.0117675303101536,0.00694142425359998,0.0240863555949319,TRUE,0.184208640602218,0.091537402924746,0.152540612881197
"EZ",4,2011-04-01,1.5,4,0.147543032617385,0.182066231533218,0.246689659722734,0.153390807491734,0.191855322799636,0.258386969856347,0.166268307673777,0.230417144956478,0.148849950702839,0.178597667752321,0.166022455325399,0.228233537666455,0.0612287032328131,0.0525077177586047,0.0952110764981824,TRUE,0.399168009048472,0.27368392490961,0.368482499528192
"EZ",4,2011-04-01,1.5,5,0.0510200997176146,0.0562205591025579,0.144006636317303,0.0537300563502274,0.0604750455982338,0.152839603087142,0.0603479319701518,0.0787311424086044,0.0316706347031768,0.0505392358998805,0.0383217342929314,0.0763321319102558,0.0120282311622487,0.00686885084822494,0.0311858538620621,TRUE,0.22386410845813,0.113581573693357,0.204043017857625
"EZ",5,2011-05-01,1.5,4,0.12715280742924,0.167941999633832,0.226743265439153,0.132081405123816,0.176298326047646,0.237034291758168,0.143627117930706,0.21430545793655,0.128351111479299,0.158024100058178,0.143303676718215,0.200363382174419,0.0470609017467306,0.0382765737791326,0.0772793808348502,TRUE,0.356302249378819,0.217112519654827,0.326026163816388
"EZ",5,2011-05-01,1.5,5,0.0486929706986055,0.0630406342436323,0.139570939844999,0.0510170653467455,0.067035514146046,0.147316086540333,0.0575685326236842,0.0881102542136728,0.0258948460813004,0.0403469197546871,0.0314023315157776,0.0607287621564963,0.00884735534007361,0.00585131097734568,0.0215728052233517,TRUE,0.173419526974772,0.0872867322923459,0.146438897000195
"EZ",6,2011-06-01,1.5,4,0.130575115722351,0.168234369780659,0.223229967256357,0.135841821587417,0.177006373420968,0.234057817125199,0.14866854391749,0.218019212134826,0.129630484419962,0.161598281409623,0.147287828467813,0.210275627630863,0.0463299123052318,0.0375510449069979,0.0705119386752548,TRUE,0.34105779622086,0.21214515715596,0.301258635756385
"EZ",6,2011-06-01,1.5,5,0.0525156639554634,0.064893177480393,0.142361538431381,0.0551016260530419,0.0691620381354268,0.150647225709447,0.0624920082379223,0.0919655547866704,0.0318409461977015,0.0479539836129765,0.0392192116486301,0.0733765211601261,0.0097857161099215,0.00614962759157735,0.0223903462444001,TRUE,0.177593962481281,0.0889162285752151,0.148627670632212
"EZ",7,2011-07-01,1.5,4,0.111964902331952,0.159913868109138,0.229837372172544,0.116132905581616,0.167961383236507,0.240216663975808,0.126681703540668,0.204391780687481,0.112078959413286,0.153457198937639,0.127044979496554,0.196614731243136,0.0472031723134432,0.0441614900305453,0.0873579476989638,TRUE,0.406458204735692,0.262926448803778,0.363663145816402
"EZ",7,2011-07-01,1.5,5,0.0334065955920056,0.0474155722639189,0.134624157312303,0.0350966256975357,0.050661085599044,0.14238416279328,0.0398161826551889,0.0671873343354939,0.0257448493297977,0.0417861178823198,0.0317006237602434,0.0627548263474557,0.00707736907126478,0.00534745976718058,0.0263046025926202,TRUE,0.201653832258915,0.105553596097465,0.184743879351318
"EZ",8,2011-08-01,1.5,4,0.105989487189696,0.1454690916929,0.206175791450588,0.110374937741462,0.153457964236347,0.216587261236955,0.121110603135119,0.189265608930967,0.104864324524001,0.138609698434634,0.119807853209652,0.18076589901031,0.0398057298658504,0.0337467438501112,0.0673287719833017,TRUE,0.36064101761117,0.219908715836583,0.310862105180052
"EZ",8,2011-08-01,1.5,5,0.0393184867389044,0.049316783620514,0.12861919518363,0.041333441275413,0.0527365107593985,0.136410034123744,0.0470671944914636,0.0706712971268378,0.0254521297283893,0.039542784079821,0.0315649692370266,0.060483923688847,0.00764960909384276,0.00492461812440453,0.0217164805755537,TRUE,0.185070704441759,0.0933815691157929,0.159200023041221
"EZ",9,2011-09-01,1.5,4,0.0957544640894053,0.124609561233326,0.183598997938858,0.10040966858103,0.132666602472979,0.194367264486106,0.110967200576865,0.164919093682862,0.0920890223638392,0.118276483986414,0.106258860792273,0.156836345444111,0.0335328430391578,0.0256665100591723,0.0535998047316371,TRUE,0.333960299969488,0.193466249837822,0.275765597017334
"EZ",9,2011-09-01,1.5,5,0.042776938224774,0.0426069300336943,0.11785763865585,0.0451410888587242,0.0459292398541529,0.125731853207859,0.051637313043792,0.0620802816621928,0.023419459178196,0.0328346394346428,0.0293571321621681,0.0514027043096606,0.00856470524178672,0.00411314573568308,0.0194940736470861,TRUE,0.189731915164724,0.0895539692959054,0.155044828734519
