"threshold","horizon","n_na","min","p05","median","max"
4,"5y",0,0.12225901640279,0.233414573491165,0.366948135541861,1.37941871020865
4,"10y",0,0.0877168581829543,0.161347782561517,0.245173674789708,1.48267489355233
4,"5y5y",0,0.163898723255826,0.274444684680259,0.440519808898903,1.34935236075577
5,"5y",14,0.0939947869002087,0.166973964048951,0.216535532765328,0.645113040665579
5,"10y",0,0.0393651039415932,0.0637372370904151,0.0956770343306551,0.395760680532127
5,"5y5y",0,0.116324152133791,0.14345607520038,0.248091659825802,0.655915881448553
