"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","lr_mean_target_pct","lr_mean_weight","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr","lr_prob_state1_ngmmr","lr_prob_state8_ngmmr","lr_extreme_cap","lr_extreme_weight","lr_extreme_penalty_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
1,0.00370108352804311,0.00773470247561108,6.35597103331574,5.16382284735254,2.54470053469383,1.31029118850099,4.49351804352049,3.4288426587252,9.7225458656841,8.15606364734626,0.066975717855138,0.0417824187941406,0.0538367824808393,0.123179025740542,0.110527686134561,0.124578239597723,0.0775304882125849,0.016020627052459,0.10148494360196,0.155624089911431,0.100440049248804,0.164931031276372,0.282815808957817,0.130728996436,0.18390269731658,0.367338084113891,0.192725084161538,0.231845072866292,0.367338084113891,NA,NA,NA,NA,2.5,10,2.23559631473613,2.016607385777,0.000233668419485343,0.158370802082999,0.201600573765514,0.2,5,6.40459094713233e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-01",2011-01-01
2,0.00337789682404412,0.0104876932740913,6.63407220444246,4.96344201789758,2.81350155984581,1.39030361261523,4.62830803764595,3.18166663351908,10.1338894666695,7.86456122698489,0.0459998198980594,0.0315972397278663,0.0439643326009577,0.128901011844846,0.113374238569991,0.131749640154427,0.0711716647058156,0.0120028079167241,0.0931072990805905,0.179027188902014,0.106232163113447,0.186134123091658,0.275372115918388,0.113379890017154,0.172553834856097,0.374794874885846,0.196920961848142,0.257401792609453,0.374794874885846,NA,NA,NA,NA,2.5,10,2.31069448976154,2.05994260897407,0.000193650507396545,0.163728391339018,0.201769363621317,0.2,5,7.82661906109579e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-02",2011-02-01
3,0.00330701635386041,0.0078844473339899,6.21053186594582,4.99312357738141,3.47063637960983,1.87479069059366,4.0566919206981,3.49206173839242,9.33863223148106,7.68664516279537,0.0335272367788504,0.0315723795394635,0.0493933772757328,0.149247085176377,0.125601982026781,0.144385527362857,0.0628535802746739,0.0119634054584088,0.0903782385907958,0.17475066117347,0.11816488216701,0.185451363453073,0.27603101818552,0.112467057921072,0.160005441222491,0.364312181103031,0.212635724378159,0.258059236427227,0.364312181103031,NA,NA,NA,NA,2.5,10,2.37922278578408,2.13817337082035,0.000130918509583507,0.161812186571536,0.20146370885107,0.2,5,5.35610900174901e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-03",2011-03-01
4,0.00358275136115694,0.0108832598592835,6.91334830110788,5.28870669648672,4.1013968952773,3.10285525292423,4.53660780605399,3.82169089706438,10.2947019052886,7.72516818788343,0.030163851097324,0.0193234240933994,0.0417739650107017,0.148849950702839,0.114883049997261,0.144720700771965,0.057860404915623,0.00726034882342973,0.0810455014185004,0.178597667752321,0.110832620777457,0.188914421176258,0.266555778757823,0.0887942023126764,0.147254313670279,0.368404144606299,0.199356735472341,0.26425866594485,0.368404144606299,NA,NA,NA,NA,2.5,10,2.40715047938816,2.18244836898044,0.000100839038363185,0.161267910328603,0.201465595624351,0.2,5,5.36992633529221e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-04",2011-04-01
5,0.00388170140801051,0.0129917815317718,7.6257854923966,5.56976194537046,4.38231127456782,3.23832892910868,5.57214003041493,4.18809823544458,11.144703517922,8.06472586647895,0.0269858622648177,0.0154054394311256,0.030523159767103,0.128351111479299,0.0904100150130469,0.128954295769711,0.0484081090997246,0.00527438760971656,0.0635900368879447,0.158024100058178,0.0858984427464254,0.167023558928734,0.247192208119801,0.0757310608220692,0.124245296117434,0.36658247465909,0.16566467352136,0.245091979821814,0.36658247465909,NA,NA,NA,NA,2.5,10,2.32364256962011,2.2740318896959,5.10615868744051e-05,0.146708085796684,0.201067968357307,0.2,5,2.8513910305216e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-05",2011-05-01
6,0.00367375218894077,0.0179872964686475,8.78290145037648,5.21724281795414,5.51534757070028,1.66122364700342,5.95513204847605,3.81149220217679,12.866056782117,8.02319955204059,0.0503773263836258,0.0474963806305675,0.0469643405439222,0.129630484419962,0.0864484064335124,0.129287835593998,0.06536498626884,0.0132751434119284,0.0912785000708602,0.161598281409623,0.0712816212556653,0.171091078940392,0.273005533617507,0.13683490125054,0.16722329639454,0.369424574083451,0.151102488957856,0.241363274819714,0.369424574083451,NA,NA,NA,NA,2.5,10,2.08137219563916,2.08291079594132,0.000173963404142302,0.158060343996853,0.201311156079259,0.2,5,4.29782566044183e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-06",2011-06-01
7,0.00389507970059931,0.014615331478386,7.63669848341247,5.41764952021918,3.32620499021982,2.23818751738263,5.78205276394633,4.15262802716176,11.4219839510323,8.11165680221102,0.0398099181041194,0.0255929881830211,0.0297773080369378,0.112078959413286,0.0785524145328387,0.114310390748384,0.0493349123288688,0.00849281607913916,0.0706980743579377,0.153457198937639,0.071077260730604,0.162078838935629,0.247663624633296,0.09771871773856,0.143161475241823,0.372996103050749,0.147021011839113,0.236383277515197,0.372996103050749,NA,NA,NA,NA,2.5,10,2.17416930597087,2.20251415547576,8.84978276922989e-05,0.1382602687292,0.201201088601974,0.2,5,3.60653457448107e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-07",2011-07-01
8,0.00399814532538932,0.0122016596488207,7.39048145210826,5.49549292839821,3.06283987715918,2.12623344687969,5.59225670840723,4.11009377931732,11.0996993236766,8.3179076715729,0.0471731837385971,0.0357196683660506,0.0358682509891857,0.104864324524001,0.0767358900636269,0.107616216555575,0.0568665284719593,0.0119437207282197,0.0780915107933881,0.138609698434634,0.0663664768897881,0.147493637224782,0.261941613490965,0.117851056329012,0.155641674484947,0.361607851911802,0.14248599920538,0.217563448235986,0.361607851911802,NA,NA,NA,NA,2.5,10,2.08985498612533,2.13794618443746,0.000131082965363393,0.136513336711788,0.201055024832882,0.2,5,2.78269349499541e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-08",2011-08-01
9,0.00422033252390217,0.00947868149557251,7.19932381858538,5.66921489462609,2.8518287685534,2.50282107966619,5.50016514104357,3.84993228422114,10.8215547141182,8.67951039024906,0.059493421307365,0.0453626413582243,0.0430356012974865,0.0920890223638392,0.072489721034596,0.0973072486460618,0.0696125183927301,0.0156727085460939,0.0856943331100981,0.118276483986414,0.0604222025844576,0.1256454561485,0.278875199407572,0.13643337876648,0.169057351312102,0.345666260095333,0.135180353353011,0.189979386275477,0.345666260095333,NA,NA,NA,NA,2.5,10,1.99576601823441,2.06124332338537,0.000192507421273912,0.133305526164177,0.201103366820734,0.2,5,3.04354585274364e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-09",2011-09-01
10,0.00464761227392674,0.0085292895557114,7.23041720204834,6.09624793368184,3.36750725285071,3.64656373992051,5.72150216388215,4.36737017347942,10.6189032690631,8.89501923917311,0.0534025458217502,0.0517317521761599,0.0371772414467932,0.074200188033755,0.0545590669797952,0.0803016433818303,0.0661633498502533,0.0188700979163178,0.0768326395869258,0.0926968456740339,0.0445370440776926,0.0999336663618494,0.281824584162114,0.150786631089104,0.161528123621765,0.322063853625417,0.108571920904458,0.160932694410772,0.322063853625417,NA,NA,NA,NA,2.5,10,1.82806792579184,2.06879001714547,0.000185942049313407,0.118415411614454,0.200948068083611,0.2,5,2.2470827279025e-06,0,0,2,0.75,2,2,"high",TRUE,"2011-10",2011-10-01
