"month","date","label","q_5y_gt4","q_10y_gt4","q_5y5y_gt4","q_data_5y_gt4","q_data_10y_gt4","q_data_5y5y_gt4","q_real_5y_gt4","q_real_10y_gt4","q_real_5y5y_gt4","q_data_real_5y_gt4","q_data_real_10y_gt4","q_data_real_5y5y_gt4","p_5y_gt4","p_10y_gt4","p_5y5y_gt4","q_5y_lt0","q_10y_lt0","q_5y5y_lt0","q_data_5y_lt0","q_data_10y_lt0","q_data_5y5y_lt0","q_real_5y_lt0","q_real_10y_lt0","q_real_5y5y_lt0","q_data_real_5y_lt0","q_data_real_10y_lt0","q_data_real_5y5y_lt0","p_5y_lt0","p_10y_lt0","p_5y5y_lt0","psi","ez_converged","ez_iter","ez_err","model"
1,2011-01-01,"2011-01",0.115959351652204,0.179314025105373,0.302218075603099,0.123179025740542,0.155624089911431,0.367338084113891,0.12169335168994,0.189846688611307,0.316397224601229,0.140477162326483,0.202661879836208,0.367338084113891,0.0572721386802239,0.0624305910442069,0.145960464505076,0.144814643763348,0.0874673368358916,0.139681811191095,0.066975717855138,0.0775304882125849,0.282815808957817,0.134411279257174,0.0775205676336773,0.127057306336368,0.0562721983990706,0.0525599987657341,0.282815808957817,0.154794058693896,0.0977378874138594,0.170198174532189,1.5,TRUE,2017,9.96527305119344e-11,"baseline_6p"
2,2011-02-01,"2011-02",0.124567862941976,0.20150224883011,0.310886953196508,0.128901011844846,0.179027188902014,0.374794874885846,0.130505916202852,0.212673734668817,0.32520415177581,0.145227273893498,0.22980576741752,0.374794874885846,0.0518059541973145,0.0574428992776361,0.118984889063674,0.118936995056776,0.127203109602364,0.195051638440197,0.0459998198980594,0.0711716647058156,0.275372115918388,0.111680053535718,0.116445080990469,0.180553819680896,0.0384983196614619,0.0477303883216269,0.275372115918388,0.133605835605991,0.156309009958063,0.255236863821642,1.5,TRUE,1789,9.95588056440511e-11,"baseline_6p"
3,2011-03-01,"2011-03",0.14179132378764,0.196696541786699,0.302291043398045,0.149247085176377,0.17475066117347,0.364312181103031,0.148796011119268,0.209001865800909,0.317785274989307,0.166631031967904,0.224583162283709,0.364312181103031,0.0630399014577882,0.0613235911093803,0.124943153532189,0.114024178285942,0.122039945347373,0.192877820548051,0.0335272367788504,0.0628535802746739,0.27603101818552,0.107069655113305,0.111748653099916,0.178566872240394,0.0280336383816872,0.0419008425817532,0.27603101818552,0.127295057221853,0.149507296061218,0.249300172761288,1.5,TRUE,1786,9.97526505841506e-11,"baseline_6p"
4,2011-04-01,"2011-04",0.14107610705262,0.200240984827695,0.307923429145188,0.148849950702839,0.178597667752321,0.368404144606299,0.147864603812816,0.212236159847191,0.322799035880566,0.166022455325399,0.228233537666455,0.368404144606299,0.0642456082047698,0.0642385738058476,0.131192913438302,0.104812310572565,0.118276488826305,0.184568142374121,0.030163851097324,0.057860404915623,0.266555778757823,0.0985032513020826,0.108636746472273,0.171066772827579,0.0247684387301658,0.0374999065045514,0.266555778757823,0.118354709318562,0.145882857223583,0.239621049229106,1.5,TRUE,1822,9.95330484698798e-11,"baseline_6p"
5,2011-05-01,"2011-05",0.121114350332329,0.181952882498899,0.295249797301166,0.128351111479299,0.158024100058178,0.36658247465909,0.127004344607888,0.192544266421079,0.308546779374551,0.143303676718215,0.200363382174419,0.36658247465909,0.0569571625516899,0.0589637915256558,0.130723652636963,0.0965878251335026,0.101284904060473,0.161299650564631,0.0269858622648177,0.0484081090997246,0.247192208119801,0.0904921881341922,0.0923977838311562,0.148818147595412,0.0222462629028862,0.0314135897817876,0.247192208119801,0.107342410983288,0.121086294080228,0.204124438404347,1.5,TRUE,1921,9.95792337477042e-11,"baseline_6p"
6,2011-06-01,"2011-06",0.123032253457909,0.186315858876887,0.294663375484288,0.129630484419962,0.161598281409623,0.369424574083451,0.129165269876106,0.197583399890113,0.309187520743343,0.147287828467813,0.210275627630863,0.369424574083451,0.0529709182168363,0.054704249431828,0.116994294732867,0.115999095835889,0.119290345372623,0.1888892633667,0.0503773263836258,0.06536498626884,0.273005533617507,0.108775842150006,0.108835878114074,0.174566687597455,0.04191327891645,0.0432310559664722,0.273005533617507,0.128107185658498,0.143533572490698,0.241577229651923,1.5,TRUE,1832,9.97077975739558e-11,"baseline_6p"
7,2011-07-01,"2011-07",0.10704306207548,0.178226666546607,0.29228093680478,0.112078959413286,0.153457198937639,0.372996103050749,0.112317522757476,0.188290911296338,0.305292709571484,0.127044979496554,0.196614731243136,0.372996103050749,0.0469027973872273,0.0521617224991072,0.118537389763217,0.100481761059727,0.0965633580935947,0.158176067947277,0.0398099181041194,0.0493349123288688,0.247663624633296,0.0939004851252331,0.0874552783857483,0.145456811916749,0.0331573341650954,0.0326130381857041,0.247663624633296,0.110413145753843,0.114251741630068,0.200457954828344,1.5,TRUE,1892,9.95699078742973e-11,"baseline_6p"
8,2011-08-01,"2011-08",0.0996686742578753,0.165450159361735,0.275729018621256,0.104864324524001,0.138609698434634,0.361607851911802,0.104748188491784,0.17527839242726,0.288766221636311,0.119807853209652,0.18076589901031,0.361607851911802,0.042795669429837,0.0465980240306279,0.108348303650562,0.108678335370626,0.104487341113285,0.171317364031729,0.0471731837385971,0.0568665284719593,0.261941613490965,0.101619934340729,0.0946785064891906,0.157772213586124,0.039611670576536,0.0380454230782662,0.261941613490965,0.11782180715032,0.121602851244783,0.21354770228365,1.5,TRUE,1945,9.91289272889162e-11,"baseline_6p"
9,2011-09-01,"2011-09",0.0841985374302079,0.132117933625589,0.347748553337759,0.0920890223638392,0.118276483986414,0.345666260095333,0.089196675058207,0.13962060680961,0.358675914581425,0.106258860792273,0.156836345444111,0.345666260095333,0.0332238040683199,0.0355858844203697,0.214074674104618,0.151172305778786,0.0332115853054963,0.0648981408114052,0.059493421307365,0.0696125183927301,0.278875199407572,0.14026230913674,0.0286170476537626,0.0590406952364886,0.0502393411148572,0.0479968206696719,0.278875199407572,0.147967797651472,0.0315735684701147,0.0697015368076589,1.5,TRUE,2519,9.96993598789686e-11,"baseline_6p"
10,2011-10-01,"2011-10",0.0608465771835823,0.106057363425401,0.32346647825181,0.074200188033755,0.0926968456740339,0.322063853625417,0.0646071783697796,0.112027816061033,0.33289916427261,0.0867009934662372,0.125291652357454,0.322063853625417,0.0212180074465886,0.0233049222357218,0.207453381168589,0.140178712156923,0.0268821525406568,0.0594877786767904,0.0534025458217502,0.0661633498502533,0.281824584162114,0.130104859616428,0.0231144633362756,0.05423761650957,0.0450208575555958,0.0461583347477864,0.281824584162114,0.134769158064737,0.0246067977070675,0.0617343759458239,1.5,TRUE,2725,9.96576154932427e-11,"baseline_6p"
